,"Algo generation: 4, gene: (242, 3)"
0,-109.52967
1,-115.900475
2,-118.96297
3,-111.601715
4,-119.649414
5,-122.39483
6,-107.67604
7,-108.621925
8,-21.445059
9,-23.84978
10,-103.215614
11,-104.2025
12,-109.89826
13,-114.80851
14,-18.991755
15,-106.45984
16,-104.051025
17,-100.27496
18,-105.2283
19,-102.24711
20,-103.54413
21,-119.473145
22,-140.89381
23,-99.99767
24,-18.269672
25,-113.07388
26,-101.96941
27,-113.71984
28,-98.2663
29,-117.27298
30,-18.72429
31,-97.47503
32,-107.90609
33,-24.720226
34,-102.864006
35,-117.883095
36,-110.94538
37,-115.78769
38,-39.629402
39,-101.23772
40,-104.376656
41,-106.100494
42,-106.07198
43,-24.165243
44,-103.587944
45,-20.728153
46,-30.322805
47,-30.397272
48,-23.728592
49,-109.92707
50,-109.02407
51,-105.44405
52,-30.792303
53,-98.64651
54,-25.82034
55,-108.4039
56,-121.47915
57,-103.370514
58,-27.459118
59,-108.96936
60,-117.14449
61,-119.94479
62,-112.76204
63,-103.11673
64,-111.73433
65,-107.906
66,-111.30784
67,-105.25878
68,-102.33776
69,-119.76742
70,-115.6401
71,-124.380135
72,-102.5789
73,-25.537611
74,-26.894485
75,-103.54232
76,-112.61494
77,-100.97239
78,-23.20713
79,-105.003494
80,-25.682594
81,-110.28817
82,-107.886795
83,-29.720198
84,-31.157068
85,-28.368666
86,-32.322166
87,-36.016354
88,-108.83823
89,-102.291214
90,-100.04205
91,-101.62126
92,-103.63368
93,-27.726627
94,-49.459633
95,-36.77729
96,-12.310247
97,-102.96819
98,-121.6508
99,-32.95953
100,-35.004192
101,-22.677204
102,-101.612595
103,-102.85611
104,-108.42873
105,-21.6372
106,-97.8808
107,-102.79197
108,-34.70178
109,-17.651651
110,-111.85409
111,-103.6161
112,-101.67763
113,-100.36633
114,-30.778605
115,-104.59006
116,-99.399086
117,-101.023094
118,-98.00378
119,-102.87026
120,-115.40516
121,-101.510544
122,-107.613014
123,-19.487257
124,-105.89803
125,-26.865759
126,-32.916553
127,-15.2284355
128,-101.97578
129,-113.80827
130,-35.241665
131,-21.609056
132,-31.083187
133,-32.84923
134,-16.20053
135,-36.07571
136,-35.606068
137,-37.302193
138,-32.695602
139,-111.5973
140,-22.671144
141,-30.44071
142,-32.64506
143,-24.69484
144,-118.1131
145,-102.24901
146,-27.925482
147,-36.73993
148,-98.51143
149,-102.93015
150,-15.307319
151,-111.87719
152,-111.46029
153,-101.138504
154,-30.617306
155,-96.221375
156,-127.00302
157,-96.51209
158,-96.96972
159,-100.39406
160,-20.106522
161,-20.252172
162,-18.567635
163,-22.763428
164,-96.03043
165,-14.772471
166,-16.09788
167,-17.085663
168,-15.03375
169,-27.32473
170,-34.566895
171,-17.909481
172,-111.22261
173,-108.26037
174,-103.79178
175,-98.83724
176,-16.239275
177,-13.4922085
178,-44.79759
179,-31.696175
180,-35.11617
181,-29.18625
182,-23.054283
183,-33.877808
184,-23.294561
185,-101.632774
186,-112.166084
187,-112.224464
188,-113.20006
189,-17.11557
190,-111.7014
191,-106.800896
192,-8.724674
193,-17.315763
194,-97.98913
195,-29.271946
196,-34.02034
197,-99.55735
198,-101.73874
199,-106.31428
200,-104.06558
201,-101.46873
202,-13.506195
203,-107.16766
204,-30.800228
205,-102.735916
206,-101.3242
207,-103.86742
208,-107.81895
209,-105.88551
210,-28.318514
211,-38.054153
212,-31.724455
213,-22.281406
214,-110.70309
215,-22.044281
216,-25.832468
217,-100.60865
218,-98.91803
219,-101.78281
220,-10.590914
221,-104.01136
222,-101.48758
223,-99.76326
224,-100.227356
225,-101.29496
226,-99.44886
227,-100.303444
228,-103.363014
229,-109.48584
230,-99.10472
231,-100.62024
232,-100.33044
233,-100.69828
234,-104.00312
235,-101.86916
236,-99.58726
237,-98.53978
238,-101.532364
239,-98.80808
240,-21.54374
241,-109.95375
242,-117.321686
243,-115.39213
244,-103.558464
245,-107.152306
246,-101.887695
247,-107.50551
248,-27.547462
249,-20.974577
250,-100.049644
251,-102.314766
252,-103.965614
253,-107.16815
254,-36.060074
255,-26.327093
256,-24.02944
257,-101.29342
258,-99.73262
259,-109.214386
260,-100.994316
261,-22.239754
262,-113.137314
263,-126.28372
264,-101.30836
265,-100.33082
266,-112.91162
267,-104.13361
268,-23.924648
269,-26.144182
270,-102.67219
271,-115.68616
272,-114.712494
273,-31.782711
274,-99.52559
275,-113.256805
276,-103.71307
277,-101.46014
278,-119.59395
279,-105.8986
280,-109.47181
281,-28.92728
282,-123.1018
283,-30.160557
284,-108.93429
285,-118.53946
286,-13.138415
287,-118.452156
288,-122.74258
289,-18.680937
290,-106.60092
291,-17.485998
292,-128.3155
293,-103.08308
294,-111.24773
295,-17.954866
296,-103.338715
297,-102.89789
298,-101.654076
299,-101.77558
300,-99.78126
301,-27.784529
302,-103.8643
303,-26.791054
304,-24.365963
305,-103.91981
306,-111.56998
307,-97.56766
308,-100.380226
309,-100.7369
310,-101.74419
311,-15.598736
312,-100.4761
313,-100.474846
314,-100.44488
315,-101.30456
316,-27.785501
317,-27.709703
318,-99.40746
319,-104.328125
320,-105.44076
321,-106.60051
322,-105.20401
323,-101.62798
324,-100.27545
325,-19.594574
326,-23.108313
327,-21.627317
328,-23.646471
329,-22.354818
330,-19.369612
331,-24.331095
332,-31.579477
333,-25.221565
334,-100.26207
335,-97.4963
336,-98.97611
337,-101.945854
338,-97.45249
339,-11.267195
340,-13.503036
341,-97.89032
342,-24.811186
343,-26.801271
344,-13.822414
345,-17.5861
346,-111.223785
347,-103.397125
348,-98.79385
349,-23.44997
350,-19.428339
351,-31.130623
352,-103.32501
353,-98.671196
354,-20.370441
355,-99.90151
356,-99.52848
357,-99.07195
358,-98.880516
359,-99.02043
360,-24.334412
361,-101.75435
362,-13.555684
363,-13.8791895
364,-91.259186
365,-30.536324
366,-30.373259
367,-106.37891
368,-98.897575
369,-102.29889
370,-107.26075
371,-103.38739
372,-106.41995
373,-101.09054
374,-5.509317
375,-97.36648
376,-98.10166
377,-101.71138
378,-102.358025
379,-102.104904
380,-107.61384
381,-102.1415
382,-101.67362
383,-106.29263
384,-107.407104
385,-107.08309
386,-102.12577
387,-101.823944
388,-101.58904
389,-107.1356
390,-102.71766
391,-107.077194
392,-101.97713
393,-101.34542
394,-100.67844
395,-102.176346
396,-102.492584
397,-100.859634
398,-104.32279
399,-100.11709
400,-102.72398
401,-99.01805
402,-99.48987
