,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9,It 10,It 11,It 12,It 13,It 14,It 15,It 16,It 17,It 18,It 19,It 20,It 21,It 22,It 23,It 24,It 25,It 26,It 27,It 28,It 29,It 30,It 31,It 32,It 33,It 34,It 35,It 36,It 37,It 38,It 39
1255,40.128296,76.50657,60.108383,104.46251,88.0331,120.71659,128.34003,-35.383614,38.098633,94.81343,-75.53967,90.16388,53.16936,14.693062,28.594175,61.387707,103.488174,69.082565,-86.6208,91.76341,15.002757,-6.893776,102.38206,-0.49362162,91.458496,102.11998,76.637764,-15.308373,49.436443,102.95183,72.714905,-15.221179,91.64665,17.941587,10.976222,-113.07746,6.373079,-94.99907,83.86659,82.05284
1256,37.337368,92.14938,69.12255,98.16062,78.54565,117.88663,-73.93771,114.98868,50.281143,89.04248,-91.150856,100.07181,52.07261,16.738184,-92.91899,63.536343,102.969,59.970417,18.555485,91.25425,32.111874,-12.70165,82.83343,-0.6065266,78.47478,108.67365,61.57668,-13.600417,-1.3891695,117.737236,73.46522,-12.7729225,-59.99357,-91.936714,-37.717964,-0.86507547,-5.728784,1.7369756,90.530975,64.21783
1257,43.99555,73.778435,62.86023,-54.266808,84.88375,113.99004,6.6636276,-131.57188,-122.03662,95.1897,96.98292,89.90601,56.149246,-29.21204,-80.70973,56.29608,113.85102,71.55909,14.618953,87.50281,20.604687,-4.9283834,-66.95198,17.107153,-15.069856,114.76267,68.5601,-26.579895,19.347456,101.863884,68.197945,2.1922917,-1.405096,23.548368,12.410993,-102.6989,-16.711536,-95.13058,89.80439,-73.75215
1258,11.830788,77.05429,63.81759,98.85069,54.883488,126.00699,123.87514,116.432625,-76.43913,93.543495,-75.84452,94.57878,50.44938,-88.26871,21.049334,54.81729,108.41565,58.39549,17.055258,85.52218,15.506656,-100.27655,83.56137,9.074188,-11.158603,-75.20377,66.26019,-22.706999,61.619392,-39.735497,66.03177,-85.98489,-19.000193,20.690992,2.0279255,-4.8810515,-108.95936,-95.07248,82.32142,-60.78989
1259,8.515849,81.35593,62.825672,85.19249,82.91897,121.006996,118.884476,-9.941956,31.93766,97.23023,98.20713,94.91533,66.01736,2.891347,21.30164,56.982456,103.032745,72.09176,13.123438,82.06194,-10.876598,-0.48748073,-98.20046,26.350178,105.27286,101.25845,77.05806,-108.731964,43.581604,-96.439445,74.22292,-21.054499,-21.666416,24.338573,13.178009,-112.87575,-104.22724,-14.00995,91.45823,55.380604
1260,42.521767,76.32637,60.930176,102.80795,83.00074,124.9515,125.38468,-89.3244,39.34078,101.90304,84.07253,97.64003,52.174118,-13.542937,17.7106,51.82347,111.0784,-35.239456,3.2756672,85.31746,22.890625,2.2035666,-22.436462,25.278786,94.215485,114.8021,74.30295,-85.20537,56.566628,110.55313,79.15504,-16.227285,-8.685031,13.391665,13.668848,-87.999146,-107.45445,-97.63882,88.14374,67.89588
1261,-143.44167,76.15089,64.74609,96.07236,96.00383,118.25305,118.158844,93.296646,17.620699,95.11134,-76.94336,90.870316,58.083324,-88.85029,18.124031,65.56601,130.1219,59.556248,9.672542,85.050995,10.403148,-17.48438,73.08261,13.632973,110.50375,111.2355,73.203995,-120.24531,46.45704,-59.453495,73.32382,-6.611624,-18.574368,18.339468,12.713149,-83.58101,-101.91797,-96.035545,83.57478,-86.77806
1262,4.30135,91.71908,68.28547,101.402374,73.61757,126.75314,124.49766,88.354515,32.473164,91.97446,-83.004944,90.54657,58.670223,15.457869,12.339511,60.775833,115.86733,55.37953,2.557071,91.69163,8.088895,-11.880607,79.67389,2.6467698,-83.93098,116.38809,72.31829,-110.922035,55.813744,-61.833237,80.77449,3.436976,81.604034,-9.849229,22.232283,-77.5419,-3.0535145,-16.000315,88.92291,-86.35965
1263,-128.36613,-96.349106,74.75072,97.67096,85.395134,133.64867,121.96348,91.93093,48.134937,88.176315,-45.47553,95.403625,56.251625,0.7937148,-18.23038,59.406227,119.77138,61.142345,-0.9700857,82.255554,25.631504,-10.741264,80.855736,-122.70206,105.11946,66.93662,65.54003,-101.732155,58.93601,-38.48571,72.60446,-122.09701,-86.47454,16.63487,16.062866,10.700489,4.8719726,-92.78044,85.4874,68.56604
1264,-126.91652,-104.31096,66.74914,93.22258,89.066154,125.61204,122.62606,94.58297,43.628662,90.59796,91.09372,91.96186,45.728752,22.13638,-91.159424,65.81893,104.83012,61.248077,20.825668,90.54188,15.692757,-9.131115,-93.32421,14.145166,-60.474243,-25.056221,72.775536,-21.53105,65.201645,-43.856346,68.09637,-6.914631,83.312645,16.290209,7.176352,24.983664,6.408195,-97.57866,89.17489,93.03663
