,"Algo generation: 6, gene: (242, 1)"
0,-105.60275
1,-105.98086
2,-112.24808
3,-119.04496
4,-115.7605
5,-121.77637
6,-113.92072
7,-118.177666
8,-124.134705
9,-121.69317
10,-115.44276
11,-119.552025
12,-114.90044
13,-119.18728
14,-114.85948
15,-115.09352
16,-121.4037
17,-116.84438
18,-117.04828
19,-25.458046
20,-19.41094
21,-30.35054
22,-16.490513
23,-21.326187
24,-20.907473
25,-19.045034
26,-13.520971
27,-116.064804
28,-102.30932
29,-17.76858
30,-112.56214
31,-104.25112
32,-106.1341
33,-119.93373
34,-103.20048
35,-15.119586
36,-13.9242735
37,-20.156603
38,-21.956728
39,-107.64395
40,-97.44828
41,-107.60248
42,-17.476822
43,-8.70301
44,-104.85583
45,-16.323797
46,-105.6606
47,-95.99452
48,-20.171228
49,-109.693146
50,-21.331942
51,-23.311462
52,-101.74711
53,-14.381871
54,-19.329906
55,-98.86852
56,-26.24266
57,-14.801097
58,-103.79656
59,-109.086
60,-95.38369
61,-15.905631
62,-22.757044
63,-102.889114
64,-27.880253
65,-110.57775
66,-110.97367
67,-100.0022
68,-107.08273
69,-15.395583
70,-11.206407
71,-101.0388
72,-97.54626
73,-8.416587
74,-18.359392
75,-97.63401
76,-101.41002
77,-16.858482
78,-12.233155
79,-14.992508
80,-16.10838
81,-118.00486
82,-16.699749
83,-18.796684
84,-115.43763
85,-19.145723
86,-19.753946
87,-99.51533
88,-116.22012
89,-119.54482
90,-110.00026
91,-100.10427
92,-18.723255
93,-19.540829
94,-20.317913
95,-17.86257
96,-20.405115
97,-15.5598
98,-17.433807
99,-15.768279
100,-9.974838
101,-17.255554
102,-108.76714
103,-100.69225
104,-101.23979
105,-15.255341
106,-18.48979
107,-14.549416
108,-121.772865
109,-24.866472
110,-15.902433
111,-112.99722
112,-9.396307
113,-113.98287
114,-102.242775
115,-17.338602
116,-15.512089
117,-13.680527
118,-3.590359
119,-100.65624
120,-91.320724
121,-14.324739
122,-13.737348
123,-97.7125
124,-5.9577065
125,-21.056864
126,-109.07255
127,-9.071314
128,-111.76292
129,-10.488284
130,-21.082096
131,-17.53454
132,-12.8661585
133,-14.84042
134,-14.670484
135,-9.7835865
136,-7.577896
137,-17.036766
138,-104.272095
139,-112.05369
140,-104.761475
141,-103.18513
142,-16.616488
143,-108.54407
144,-11.066577
145,-106.909454
146,-16.690996
147,-106.77561
148,-107.40565
149,-105.87822
150,-22.069227
151,-104.3517
152,-93.601585
153,-98.68012
154,-100.71184
155,-104.9487
156,-99.19982
157,-102.354485
158,-103.90258
159,-105.200966
160,-3.7061946
161,-104.50198
162,-104.04428
163,-18.694763
164,-23.595263
165,-1.9190881
166,-101.34401
167,-105.6298
168,-13.262603
169,-105.18314
170,-111.27665
171,-100.91851
172,-30.162556
173,-18.316753
174,-101.15353
175,-103.881
176,-16.750357
177,-26.809738
178,-102.93293
179,-100.67936
180,-103.40986
181,-104.2995
182,-104.02625
183,-103.36167
184,-103.326904
185,-107.39898
186,-27.139729
187,-103.53083
188,-105.75726
189,-102.003265
190,-102.018616
191,-25.909424
192,-94.27718
193,-105.0263
194,-101.55037
195,-115.52554
196,-33.97237
197,-16.779436
198,-104.93729
199,-22.374346
200,-106.11455
201,-100.981964
202,-100.838295
203,-103.48445
204,-100.42837
205,-23.075888
206,-106.70227
207,-96.83908
208,-101.24357
209,-95.13596
210,-103.545395
211,-3.8705952
212,-102.309555
213,-99.90444
214,-22.724552
215,-32.89156
216,-100.51164
217,-96.80214
218,-98.290985
219,-100.44862
220,-99.16264
221,-98.07939
222,-97.27442
223,-102.250694
224,-30.067709
225,-30.833557
226,-100.36357
227,-95.18565
228,-95.28846
229,-22.388416
230,-100.5135
231,-99.42775
232,-98.87098
233,-100.93837
234,-109.89954
235,-103.41218
236,-102.365616
237,-100.78542
238,-106.59426
239,-103.58772
240,-112.21335
241,-112.61882
242,-117.41082
243,-118.339386
244,-98.24586
245,-98.999344
246,-26.706902
247,-100.56841
248,-102.23216
249,-101.706436
250,-101.54571
251,-20.302511
252,-97.37303
253,-96.04883
254,-109.032455
255,-25.738058
256,-26.418404
257,-25.702505
258,-100.07467
259,-95.063515
260,-97.239784
261,-35.327232
262,-31.724865
263,-27.389444
264,-18.359503
265,-101.16871
266,-18.965103
267,-103.05666
268,-100.96845
269,-20.707603
270,-109.96302
271,-14.225669
272,-99.71628
273,-99.918915
274,-100.88342
275,-100.615105
276,-99.13487
277,-101.610306
278,-25.483583
279,-101.79747
280,-101.97207
281,-23.862902
282,-103.70821
283,-119.22266
284,-106.62453
285,-102.46013
286,-102.261986
287,-136.28046
288,-102.03014
289,-103.48681
290,-132.58015
291,-137.57797
292,-107.16741
293,-108.79253
294,-105.0321
295,-105.18092
296,-106.87156
297,-105.70695
298,-120.89125
299,-132.0759
300,-127.30911
301,-101.7755
302,-101.67619
303,-104.46912
304,-105.48126
305,-109.72948
306,-106.56613
307,-104.549736
308,-105.74267
309,-103.833626
310,-105.07857
311,-103.95474
312,-94.86823
313,-86.346466
314,-101.49612
315,-99.36259
316,-103.90756
317,-102.05355
318,-104.32373
319,-106.03317
320,-106.29311
321,-100.916824
322,-104.39909
323,-107.64695
324,-103.40269
325,-100.09237
326,-99.0972
327,-96.918785
328,-103.60572
329,15.790457
330,-104.194855
331,-103.62953
332,-103.03042
333,-102.555786
334,-103.54548
335,-101.937454
336,-98.84747
337,-104.596245
338,-100.896736
339,-96.30975
340,-97.85653
341,-100.15479
342,-93.66095
343,-83.87203
344,-8.906048
345,-10.386293
346,-9.484677
347,-100.7286
348,-100.66735
349,-100.50842
350,-103.26782
351,-106.50585
352,-94.12729
353,-115.20306
354,-111.210075
355,-112.856285
356,-113.35591
357,-107.50934
358,-106.66649
359,-108.72386
360,-97.67933
361,-103.927986
362,-104.19483
363,-106.325806
364,-108.00432
365,-103.8068
366,-99.11488
367,-98.70392
368,-96.6896
369,-97.27409
370,-84.78845
371,-97.57787
372,-84.280754
373,-90.143555
374,-97.03801
375,-105.68688
376,-101.17916
377,-112.885704
378,-111.72665
379,-111.1125
380,-108.88797
381,-110.07131
382,-111.28482
383,-99.99853
384,-98.31609
385,-108.17838
386,-90.559555
387,-102.740425
388,-103.35997
389,-102.144066
390,-102.06273
391,-101.86513
392,-103.617355
393,-102.729645
394,-104.82015
395,-107.16453
396,-103.285095
397,-105.1434
398,-107.35384
399,-108.80714
400,-109.92189
401,-103.99214
402,-103.32266
403,-101.07155
404,-100.10489
405,-101.81054
406,-101.503265
407,-100.63198
408,-103.49838
409,-100.616905
410,-101.63333
411,-100.51551
412,-100.751396
413,-90.96115
414,-103.1282
415,-101.22178
416,-96.0242
417,-101.59084
418,-103.41579
419,-103.10653
420,-100.240616
421,-105.01519
422,-103.8493
423,-108.613686
424,-103.49359
425,-106.02548
426,-106.0577
427,-95.41115
428,-101.78807
429,-90.79617
430,-101.90435
431,-99.094734
432,-100.743256
433,-100.27852
434,-106.505005
435,-105.47265
436,-105.773544
437,-101.06214
438,-91.08603
439,-100.4349
440,-103.42159
441,-103.13616
442,-103.749504
443,-100.87494
444,-105.450325
445,-93.75915
446,10.105072
447,-96.7424
448,14.072811
449,-87.6978
450,-89.24815
451,-103.56603
452,-99.40916
453,-108.07074
454,-106.54234
455,-102.20496
456,-105.51598
457,-106.74387
458,-104.94566
459,-99.67401
460,-103.29548
461,-94.166466
462,-104.61496
463,-104.214935
464,-103.275955
465,-99.217125
466,-99.54001
467,-91.90841
468,-101.29594
469,-113.10391
470,-89.82298
471,-103.71414
472,-96.39326
473,-94.39515
474,-91.02342
475,-92.93529
476,-100.92447
477,-92.83014
478,-96.8516
479,-94.107086
480,-98.77948
481,-131.65863
482,-102.18094
483,-97.17759
484,-87.97476
485,-107.21955
486,-108.6144
487,-109.47407
488,-87.20946
489,-102.29538
490,-8.107636
491,-117.998856
492,-102.41555
493,13.590205
494,-81.26683
495,-97.797966
496,-91.79028
497,-91.11327
498,-90.94044
499,-95.95993
500,-90.70973
501,-102.66896
502,-109.06026
503,-98.76682
504,-91.78085
505,-93.81106
506,-93.676735
507,-89.43814
508,-108.9398
509,-109.72609
510,-95.79507
511,-100.108795
512,-105.55288
513,-94.0804
514,31.01504
515,-99.040955
516,-91.92851
517,-85.31526
518,-82.39879
519,-101.36982
520,-81.490585
521,-105.87767
522,-92.555855
523,-119.95998
524,-102.45817
525,-105.986565
526,-99.639595
527,-90.39209
528,-99.784996
529,-105.68493
530,-99.44789
531,-96.65394
532,-95.37154
533,-101.49835
534,-94.94007
535,-87.29617
536,-84.41457
537,-96.0773
538,-73.758804
539,-101.96982
540,-0.2945736
541,-90.94981
542,-89.98434
543,-78.69406
544,57.612907
545,-77.093994
546,41.979885
547,-93.515205
548,-64.1927
549,-102.838585
550,-92.19254
551,-105.06373
552,-106.14201
553,-85.53899
554,-92.234955
555,-135.1177
556,-106.64313
557,-118.25816
558,-103.62102
559,-95.27033
560,-86.79953
561,24.038296
562,37.26726
563,-92.62105
564,-91.62826
565,-97.38278
566,-98.99431
567,-101.112305
568,-95.94107
569,-75.34591
570,-94.164154
571,-96.85367
572,-104.73312
573,-104.4009
574,-102.77184
575,-99.88575
576,-89.33354
577,-86.71918
578,-95.59927
579,-93.64486
580,-92.54016
581,-97.37988
582,-98.21758
583,-92.769875
584,-99.647
585,-104.81052
586,-104.296906
587,-69.110245
588,49.366028
589,-92.53597
590,22.637247
591,-90.51938
592,-92.97561
593,-98.514725
594,-104.71062
595,-31.989058
596,-33.884014
597,-30.08825
598,-100.70479
599,-96.24239
600,-103.80894
601,-104.97175
602,-114.38074
603,55.3811
604,-103.33839
605,-103.55505
606,-83.3066
607,-89.00615
608,-92.325645
609,-88.974335
610,-94.61186
611,58.864384
612,-79.03929
613,-72.52521
614,-58.823364
615,-71.45697
616,81.45905
617,-53.329723
618,20.055851
619,-99.80849
620,54.199238
621,-101.498184
622,-48.102272
623,-61.644497
624,36.735382
625,-57.392406
626,69.59882
627,-87.52701
628,11.930255
629,26.864801
630,-88.5978
631,-99.94783
632,-86.55141
633,43.685
634,-80.25189
635,34.100872
636,32.70348
637,52.910954
638,-85.80309
639,-76.55751
640,-100.26208
641,-91.74116
642,48.44356
643,-103.65149
644,40.787193
645,57.685436
646,-106.89627
647,45.47377
648,44.061615
649,31.653418
650,-95.7472
651,23.753826
652,-95.58035
653,5.4823337
654,-105.16355
655,39.999546
656,19.785559
657,6.6546364
658,33.30508
659,53.344826
660,-50.138863
661,-33.10466
662,-86.57205
663,-71.7267
664,25.758322
665,-14.562355
666,-21.023682
667,-24.969294
668,49.735325
669,70.8368
670,73.59109
671,-111.06397
672,-129.89787
673,-130.88733
674,-74.237854
675,-104.27637
676,-84.9568
677,4.7934756
678,-13.237616
679,-19.994358
680,58.859947
681,-82.405975
682,9.990299
683,-42.286938
684,-82.83571
685,-117.08078
686,-97.27967
687,8.354896
688,17.122301
689,-51.60586
690,23.635
691,-103.21749
692,5.8838134
693,-76.01301
694,43.308086
695,47.40595
696,52.159355
697,57.996
698,33.196278
699,53.182373
700,-51.319157
701,-68.58862
702,-90.52451
703,-101.31538
704,-101.99822
705,-103.59279
706,43.40098
707,32.89613
708,35.30475
709,6.4033275
710,6.2718315
711,54.98472
712,65.38881
713,-39.641445
714,-30.57846
715,61.9862
716,51.1907
717,55.51301
718,41.96689
719,-103.52225
720,51.448147
721,49.2966
722,-1.3081199
723,-7.6601872
724,1.040046
725,0.4572289
726,-76.93476
727,62.576046
728,56.384014
729,38.310146
730,39.31415
731,31.777157
732,2.6137705
733,-84.320724
734,23.261644
735,-32.629192
736,-29.21128
737,32.647102
738,25.595669
739,-118.89048
740,27.899773
741,44.3439
742,54.99555
743,-82.71475
744,56.553825
745,20.517384
746,-96.49712
747,-102.026375
748,-86.32271
749,31.275303
750,-17.29804
751,35.014267
752,-78.59473
753,48.895916
754,60.697605
755,-84.260025
756,-58.42053
757,47.050583
758,6.4201593
759,-112.68381
760,-10.403195
761,-0.012378821
762,26.266674
763,47.493645
764,-65.92912
765,58.31642
766,51.61588
767,5.0437446
768,21.35979
769,-87.74903
770,59.18451
771,40.626625
772,32.317215
773,-52.402477
774,64.549484
775,36.70306
776,6.3449435
777,16.762041
778,36.083908
779,46.99067
780,47.964573
781,40.79974
782,26.877922
783,-80.09128
784,-91.51315
785,39.19896
786,23.577284
787,23.197218
788,24.789852
789,31.660929
790,30.173704
791,-106.8583
792,-16.242218
793,-17.879147
794,-11.266964
795,16.936686
796,12.488761
797,20.813778
798,15.630474
799,0.018101368
800,8.711405
801,21.038507
802,46.499
803,62.38563
804,70.559364
805,41.78491
806,47.21752
807,-105.7028
808,58.283707
809,60.077393
810,54.4482
811,46.45782
812,49.59405
813,17.322176
814,18.660624
815,16.783255
816,9.856862
817,47.38221
818,-103.37581
819,65.75294
820,62.956158
821,54.04245
822,55.124905
823,41.57544
824,46.018852
825,45.464046
826,43.598152
827,30.934418
828,26.653585
829,-119.2727
830,47.689716
831,-82.710304
832,37.222424
833,40.567333
834,54.905834
835,46.345863
836,13.4293585
837,-3.9808333
838,-9.175099
839,6.996963
840,35.612823
841,34.171455
842,-98.66647
843,54.390846
844,34.659557
845,49.91764
846,-84.66181
847,32.531246
848,45.729836
849,77.80052
850,-64.77806
851,-55.78876
852,-66.153366
853,46.666004
854,15.514279
855,2.4227057
856,15.3178215
857,15.966583
858,17.686476
859,0.40394628
860,-15.828723
861,-20.71074
862,4.9000425
863,43.038536
864,50.01145
865,41.691227
866,39.71749
867,46.913815
868,49.342484
869,55.439896
870,43.69223
871,51.11468
872,33.30955
873,29.477085
874,22.008146
875,35.75783
876,60.938198
877,57.00644
878,-52.45534
879,36.07377
880,54.867737
881,57.862183
882,48.989056
883,43.437874
884,45.159195
885,42.967236
886,-94.15521
887,44.647526
888,29.594229
889,32.033314
890,39.743122
891,41.069313
892,36.781986
893,33.671734
894,-96.46218
895,-120.16163
896,-100.999565
897,23.296476
898,33.040714
899,-90.456505
900,-97.96207
901,15.305854
902,-78.71698
903,26.55242
904,29.8495
905,50.573593
906,66.17652
907,74.24118
908,67.536255
909,57.276722
910,40.853565
911,44.403378
912,37.814476
913,-69.745865
914,30.817429
915,-105.52789
916,-104.466
917,52.10519
918,-97.765816
