,"Algo generation: 5, gene: (127, 3)"
0,-24.765831
1,-106.46352
2,-26.732368
3,-31.666182
4,-29.530704
5,-30.748938
6,-41.482525
7,-118.56094
8,-118.43157
9,-33.690304
10,-117.200356
11,-112.623985
12,-21.186487
13,-102.07488
14,-30.116186
15,-106.818405
16,-116.78755
17,-105.75534
18,-102.490234
19,-21.957447
20,-22.92916
21,-100.94238
22,-15.529325
23,-120.11401
24,-108.65023
25,-109.729904
26,-102.80912
27,-21.204287
28,-17.04868
29,-18.379124
30,-19.342617
31,-105.76416
32,-112.34391
33,-102.46874
34,-108.75095
35,-99.964745
36,-20.296156
37,-16.162052
38,-109.70132
39,-102.7781
40,-15.1526785
41,-110.28227
42,-18.800295
43,-119.1528
44,-16.74884
45,-21.539423
46,-17.03559
47,-18.576832
48,-20.344227
49,-18.416304
50,-96.31572
51,-98.6949
52,-28.309929
53,-105.2735
54,-23.592161
55,-106.07623
56,-16.880238
57,-28.341848
58,-16.204588
59,-14.432545
60,-19.832706
61,-14.32406
62,-100.16086
63,-13.136969
64,-97.93321
65,-13.453427
66,-16.350061
67,-105.867226
68,-22.860624
69,-107.60109
70,-5.831256
71,-4.4273043
72,-92.78613
73,-8.999872
74,-113.09696
75,-6.1473074
76,-2.8536036
77,-4.5528927
78,-96.689026
79,-115.69945
80,-6.32538
81,-12.128011
82,-110.568306
83,-101.613
84,-2.8607855
85,-95.66209
86,-3.5314062
87,-1.6024089
88,-100.49542
89,-117.56197
90,-22.090416
91,-5.5715785
92,-111.99465
93,-119.69133
94,-2.643323
95,-111.934235
96,-112.17365
97,-119.451355
98,-115.470985
99,-115.97788
100,9.1783905
101,-115.94544
102,-13.691255
103,-17.834743
104,-106.196175
105,-106.76263
106,-104.24749
107,-2.6344626
108,-94.21559
109,-98.69401
110,-98.98874
111,-98.94625
112,-96.75772
113,-97.073746
114,-97.42929
115,-113.504944
116,-22.982279
117,-115.80001
118,-112.49965
119,-126.42656
120,-12.933784
121,-8.521422
122,-15.068025
123,-8.024043
124,-14.177355
125,-5.710576
126,-4.514572
127,-10.716326
128,-12.497536
129,-27.043398
130,-31.89446
131,-113.75727
132,-24.684591
133,-29.299969
134,-27.568182
135,-30.263454
136,-111.525024
137,-115.65418
138,-103.74815
139,-10.493712
140,-11.996979
141,-14.554081
142,-99.32781
143,-23.329733
