,"It [499, 2]"
396,-107.698135
397,-102.94306
398,-103.74467
399,-100.37389
400,-101.99352
401,-99.484024
402,-100.54221
403,-100.22013
404,-101.402794
405,-101.55741
406,-99.72305
407,-100.58886
408,-100.80035
409,-101.9795
410,-100.0402
411,-98.256775
412,-99.96731
413,-100.596565
414,-99.9943
415,-102.6795
416,-100.4107
417,-99.902695
418,-98.531456
419,-100.92914
420,-100.70898
421,-100.59202
422,-100.05936
423,-99.813156
424,-100.044205
425,-100.08305
426,-101.61192
427,-103.4989
428,-100.7324
429,-98.228386
430,-99.27922
431,-99.53245
432,-99.545044
433,-101.70915
434,-102.263954
435,-101.848114
436,-101.383
437,-101.13993
438,-104.071
439,-105.11199
440,-101.3505
441,-101.370865
442,-103.729324
443,-104.94663
444,-100.66186
445,-100.20451
446,-100.60367
447,-102.663216
448,-103.16859
449,-100.64547
450,-102.779274
451,-97.21463
452,-101.57468
453,-98.99747
454,-99.204666
455,-99.20025
456,-99.11448
457,-98.92676
458,-98.81407
459,-99.74411
460,-100.44429
461,-105.636536
462,-112.85992
463,-104.688515
464,-99.46383
465,-98.64053
466,-97.305725
467,-101.63691
468,-102.95397
469,-100.65702
470,-98.15666
471,-99.39024
472,-96.9399
473,-99.37919
474,-100.29788
475,-100.77905
476,-103.17301
477,-101.656845
478,-99.6535
479,-100.18518
480,-101.258
481,-21.86843
482,-16.769802
483,-16.611296
484,-104.354645
485,-101.15155
486,-104.744804
487,-103.53062
488,-102.54256
489,-102.61067
490,-102.132034
491,-100.76072
492,-102.721054
493,-101.33124
494,-101.25737
495,-100.24714
496,-102.84733
497,-100.64352
498,-101.58244
499,-101.94811
500,-102.7303
501,-100.205956
502,-95.24438
503,-102.80252
504,-98.161
505,-97.58199
506,-99.7771
507,-96.796104
508,-99.65908
509,-101.44313
510,-100.95903
511,-99.30667
512,-99.368805
513,-98.85764
514,-100.39803
515,-100.64322
516,-101.08336
517,-101.8116
518,-101.52336
519,-12.96223
520,-98.50762
521,-95.33279
522,-100.368706
523,-98.053696
524,-101.170494
525,-10.981324
526,-14.351587
527,-17.728474
528,-103.95685
529,-97.62866
530,-109.77048
531,-122.59929
532,-103.074326
533,-99.83618
534,-101.7686
535,-99.42644
536,-102.03426
537,-97.46088
538,-99.285774
539,-92.3273
540,-94.45959
541,-98.98239
542,-101.012436
543,-95.3588
544,-100.076225
545,-102.916565
546,-99.47845
547,-98.74568
548,-101.019844
549,-104.53838
550,-106.12055
551,-103.3436
552,-101.5443
553,-101.317635
554,-103.80034
555,-104.44996
556,-102.20941
557,-15.363331
558,-13.27228
559,-104.492966
560,-100.23021
561,-104.52227
562,-102.0554
563,-100.76841
564,-103.97995
565,-98.65238
566,-107.79301
567,-100.440254
568,-101.00729
569,-104.289314
570,-104.93905
571,-100.875175
572,-95.87255
573,-98.00925
574,-103.217255
575,-13.366794
576,-106.076485
577,-105.51289
578,-101.59523
579,-102.83886
580,-101.50528
581,-117.27742
582,-95.58495
583,-99.36105
584,-93.398026
585,-99.84869
586,-14.64257
587,-100.77512
588,-116.2723
589,-21.33414
590,-97.075195
591,-88.71268
592,-96.23652
593,-98.66985
594,-91.81702
595,-18.625328
596,-112.8018
597,-95.7035
598,-96.43879
599,-99.24601
600,-38.860325
601,-133.43642
602,-104.294556
603,-97.94545
604,-99.397835
605,-103.66902
606,-93.21588
607,-111.50569
608,-119.391945
609,-97.65751
610,-100.833305
611,-105.78316
612,-95.36135
613,-101.25676
614,-102.26288
615,-97.080765
616,-98.00701
617,-97.91472
618,-92.89937
619,-88.80337
620,-94.35858
621,-98.625465
622,-104.628555
623,-100.231926
624,-102.86244
625,-101.069405
626,-99.56878
627,-101.47348
628,-97.07454
629,-96.64359
630,-97.2513
631,-100.51477
632,-102.6827
633,-104.201485
634,-105.333565
635,-98.05267
636,-96.019104
637,-100.12652
638,-98.90418
639,-104.257286
640,-95.572464
641,-101.11321
642,-94.49469
643,-101.659035
644,-102.477776
645,-103.138916
646,-96.62209
647,-98.272766
648,-94.87987
649,-96.70225
650,-81.39412
651,-96.462135
652,-99.871925
653,-95.86305
654,-96.007385
655,-98.54811
656,-98.50493
657,-86.350746
658,-100.16427
659,-100.80242
660,-18.003063
661,-101.398796
662,-99.75415
663,-97.59028
664,-96.74412
665,-93.11284
666,-99.27494
667,-91.678055
668,-90.096306
669,-94.64267
670,-91.56307
671,-102.02395
672,-104.384
673,-97.47773
674,-94.74344
675,-98.74767
676,-93.88647
677,-91.447815
678,-120.76137
679,-103.54276
680,-105.13993
681,-104.0984
682,-95.36407
683,-97.50517
684,-90.12713
685,-80.06413
686,-92.04164
687,-94.33801
688,-102.27589
689,-101.79869
690,-95.07153
691,-97.02305
692,-97.64322
693,-98.3706
694,-98.60125
695,-105.65715
696,-116.45022
697,-91.02858
698,-90.831696
699,-109.17221
700,-94.94038
701,-88.24861
702,-98.48771
703,-100.99243
704,-98.30008
705,-107.03882
706,-11.555662
707,-91.70067
708,-92.37705
709,-79.397415
710,-93.20302
711,-92.43019
712,-92.23537
713,-123.788925
714,-120.028046
715,-127.591606
716,-93.78551
717,-95.81513
718,-93.4389
719,12.297328
720,-104.78212
721,-94.32475
722,-87.21138
723,-89.171776
724,-110.975464
725,-106.979355
726,-99.82271
727,-99.836136
728,-88.51839
729,-94.255325
730,-99.80394
731,-118.76495
732,-93.71182
733,-96.2085
734,-102.75096
735,-103.87848
736,-107.29429
737,-97.21862
738,-93.31575
739,-98.3496
740,-17.614618
741,-93.56451
742,-19.568054
743,-102.69912
744,3.9814644
745,-100.637436
746,-126.91825
747,-127.43573
748,1.3499311
749,13.275397
750,-91.51466
751,-14.604791
752,-96.327965
753,-98.7306
754,-103.89703
755,-87.6741
756,-4.496866
757,16.898117
758,-97.606285
759,-100.58711
760,-94.37382
761,-19.428421
762,-27.296242
763,-20.46779
764,-88.84421
765,-20.530739
766,-90.36132
767,-18.794838
768,-13.654361
769,-91.25112
770,-92.36946
771,-87.579895
772,-80.2248
773,-84.026566
774,-82.97685
775,-101.015656
776,-5.994297
777,1.3225622
778,-103.782364
779,-99.80148
780,-79.42058
781,-106.00706
782,-89.186584
783,-94.86613
784,-95.529274
785,-90.357254
786,-95.57398
787,-105.25138
788,-88.779816
789,-85.823166
790,-99.715096
791,9.116803
792,-89.99838
793,-8.9960375
794,-91.62806
795,-100.456635
796,-92.62841
797,-87.323395
798,-2.9500926
799,-80.52745
800,14.843462
801,-85.01377
802,-131.08687
803,-90.44924
804,-101.60926
805,-101.22023
806,-93.190346
807,-86.33028
808,-85.26489
809,-84.10365
810,-105.46886
811,-110.53955
812,-85.46081
813,-81.81059
814,-108.851326
815,-80.92572
816,-101.64566
817,-92.30166
818,-88.12958
819,-84.72197
820,-95.95246
821,-97.110115
822,-101.529144
823,-85.22607
824,-95.14064
825,-91.25281
826,-97.04327
827,-36.71887
828,-24.251831
829,-96.226204
830,-94.45023
831,-94.3824
832,-94.79318
833,-109.24868
834,-91.56757
835,-86.04896
836,-92.285255
837,-93.70947
838,-96.82227
839,-95.65209
840,22.230076
841,-93.984665
842,-93.35351
843,-91.33358
844,-92.30027
845,-80.05082
846,-82.20688
847,-91.38891
848,-89.24981
849,-88.34566
850,-93.60019
851,-89.54789
852,-93.731865
853,-77.57674
854,-88.00911
855,-28.734583
856,-98.507324
857,-92.61859
858,-103.986336
859,-87.17328
860,-76.6743
861,-7.526823
862,-94.68034
863,-6.99656
864,-120.43813
865,14.123753
866,-87.96738
867,-71.68198
868,-5.9762297
869,-5.8849125
870,-113.647125
871,-3.0562563
872,24.825968
873,-77.62605
874,2.714986
875,-92.44744
876,-99.71751
877,-6.6452103
878,-95.373314
879,7.3406005
880,8.575721
881,-5.037786
882,-90.800896
883,-92.75231
884,-91.09041
885,-122.119545
886,-16.98194
887,-107.72681
888,-89.53837
889,-14.220104
890,-1.0724055
891,-1.2557803
892,31.868383
893,-3.5299459
894,0.0580147
895,-5.1445193
896,-105.21298
897,-10.007562
898,-10.570652
899,-10.505693
900,-2.9751582
901,1.4263519
902,2.0493586
903,-10.797777
904,-10.743548
905,-83.31173
906,-108.558136
907,5.949183
908,-94.515976
909,-1.5595155
910,0.08297665
911,-13.704784
912,-99.82187
913,-0.0077525936
914,2.722661
915,-3.1664953
916,-88.34011
917,-4.0352774
918,-98.839066
919,-2.5375516
920,-11.023001
921,-98.08204
922,-87.50122
923,5.3958044
924,1.0257866
925,21.238234
926,-100.12932
927,-0.1817297
928,-106.8394
929,-71.23502
930,-91.5835
931,29.630198
932,25.325298
933,21.167171
934,-12.138453
935,0.03420601
936,17.01689
937,-103.144424
938,-94.05919
939,-110.23529
940,14.935132
941,-4.588845
942,21.393394
943,15.224628
944,12.963393
945,-94.06807
946,3.4329443
947,9.258733
948,9.868188
949,40.65188
950,-79.44459
951,-90.209625
952,22.89073
953,-2.9734251
954,10.380615
955,27.452011
956,11.446262
957,17.844149
958,34.343956
959,32.12227
960,-65.92631
961,-63.337353
962,0.60305756
963,26.430977
964,19.581112
965,4.348035
966,-2.8605268
967,26.494999
968,22.249537
969,4.9022474
970,32.04923
971,35.201134
972,16.865633
973,19.963884
974,35.493065
975,43.10447
976,36.633114
977,40.841385
978,-74.69766
979,-104.13665
980,23.705122
981,28.035034
982,27.972458
983,2.7820287
984,-85.14287
985,31.518816
986,-106.36768
987,-97.46744
988,-97.189995
989,-109.39489
990,-96.34069
991,-87.5141
992,36.82905
993,-97.17136
994,52.29717
995,29.515417
996,37.208275
997,53.78148
998,53.599655
999,45.456615
1000,-81.75267
1001,-106.29928
1002,39.345444
1003,30.499807
1004,36.244484
1005,48.39359
1006,-87.57949
1007,-103.37805
1008,-100.024704
1009,35.201508
1010,32.327477
1011,-83.53891
1012,-92.63874
1013,-82.56006
1014,42.083412
1015,45.706486
1016,-55.56779
1017,36.200874
1018,43.304256
1019,-78.56529
1020,-81.27812
1021,-91.020096
1022,-91.44438
1023,-86.034645
1024,-94.75717
1025,-91.722404
1026,-97.596405
1027,-78.40444
1028,-89.93837
1029,-95.05982
1030,-66.802185
1031,-95.43707
1032,-96.300095
1033,-106.179085
1034,-105.02795
1035,-102.535065
1036,-98.68021
1037,-99.04588
1038,38.37832
1039,15.299485
1040,-82.62549
1041,22.720575
1042,-75.46854
1043,44.967518
1044,-50.556873
1045,55.529602
1046,-88.90585
1047,-72.29454
1048,-100.514084
1049,-100.86139
1050,-101.604454
1051,-90.07652
1052,-92.79334
1053,58.327847
1054,-53.414867
1055,51.304016
1056,-96.99026
1057,39.54732
1058,-92.80584
1059,-96.61817
1060,-90.91625
1061,45.164543
1062,-95.581055
1063,-73.030975
1064,-98.30106
1065,-88.7305
1066,33.784344
1067,23.19771
1068,5.5139647
1069,52.925957
1070,60.01189
1071,-100.755486
1072,-68.37816
1073,-83.68622
1074,52.980698
1075,52.691814
1076,49.786434
1077,-89.96955
1078,23.22456
1079,35.395313
1080,34.97811
1081,27.51769
1082,-81.066505
1083,-96.5282
1084,52.436295
1085,51.95097
1086,62.13482
1087,60.76227
1088,50.496567
1089,-95.33363
1090,52.913303
1091,38.661163
1092,40.927296
1093,28.918598
1094,40.333035
1095,-82.6635
1096,30.522594
1097,49.432274
1098,-44.005375
1099,43.378216
1100,-78.46402
1101,42.731403
1102,40.73561
1103,28.715519
1104,40.637035
1105,43.31987
1106,11.471084
1107,0.6511099
1108,8.340073
1109,19.330782
1110,24.239012
1111,24.769222
1112,7.306937
1113,21.458158
1114,39.659286
1115,-86.56275
1116,29.482155
1117,20.580608
1118,10.36556
1119,28.038715
1120,24.706285
1121,-76.106026
1122,29.636211
1123,27.095697
1124,40.627953
1125,20.997738
1126,35.894817
1127,31.143341
1128,36.98105
1129,22.325489
1130,31.404268
1131,45.6983
1132,37.8365
1133,5.369294
1134,28.49358
1135,31.595766
1136,47.883007
1137,60.45059
1138,40.86786
1139,53.666935
1140,60.172176
1141,56.904793
1142,75.219154
1143,46.154938
1144,49.565914
1145,-93.05778
1146,39.809093
1147,51.896416
1148,46.223534
1149,-18.971146
1150,44.73983
1151,-13.005388
1152,69.25178
1153,83.94223
1154,69.3042
1155,55.327637
1156,44.802757
1157,47.598408
1158,45.48177
1159,55.87466
1160,69.34723
1161,68.22512
1162,72.01386
1163,58.35992
1164,46.299267
1165,-62.704197
1166,88.95866
1167,94.146034
1168,65.82875
1169,57.92918
1170,68.77925
1171,46.399296
1172,60.11789
1173,57.819054
1174,59.36274
1175,78.66549
1176,79.88234
1177,60.72344
1178,56.67615
1179,46.260777
1180,41.981956
1181,47.91778
1182,12.33997
1183,23.35582
1184,45.995644
1185,69.720184
1186,-94.26055
1187,77.76755
1188,53.99506
1189,58.29332
1190,-89.34923
1191,-88.22463
1192,-102.4172
1193,-100.99885
1194,2.8406966
1195,48.487087
1196,-102.12235
1197,-89.97589
1198,51.607338
1199,34.092495
1200,-80.38728
1201,-111.09443
1202,40.77631
1203,41.375988
1204,37.240665
1205,-104.18263
1206,22.959064
1207,-78.18973
1208,32.525116
1209,-106.316055
1210,-96.01295
1211,-117.96394
1212,-76.06819
1213,-120.52379
1214,-99.589966
1215,-86.074615
1216,40.623703
1217,70.3262
1218,43.10152
1219,46.665634
1220,47.450516
1221,42.11272
1222,-80.69229
1223,-96.13197
1224,-91.749245
1225,-13.1379175
1226,-94.166985
1227,34.562508
1228,-44.849052
1229,-3.4291358
1230,42.632725
1231,46.716488
1232,-93.43596
1233,-99.92765
1234,-93.972755
1235,-96.524536
1236,-98.431755
1237,42.35479
1238,47.305794
1239,52.386818
1240,5.053416
1241,44.4013
1242,44.158615
1243,40.345337
1244,33.64797
1245,32.293587
1246,-100.91252
1247,33.724354
1248,-89.21012
1249,-88.53696
1250,29.424421
1251,25.642454
1252,35.054157
1253,16.761637
1254,49.757923
