,"It [183, 2]"
398,-101.06504
399,-104.88918
400,-101.2451
401,-99.90189
402,-104.79681
403,-107.050644
404,-105.49694
405,-108.475105
406,-104.302345
407,-105.63165
408,-104.0438
409,-106.24918
410,-104.88098
411,-105.73032
412,-104.31428
413,-105.18289
414,-99.73719
415,-97.44322
416,-99.32996
417,-99.00845
418,-88.60452
419,-102.37269
420,-13.761039
421,-11.984178
422,-99.323524
423,-102.29048
424,-21.024748
425,-102.43086
426,-103.545296
427,-104.49414
428,-104.6225
429,-101.36892
430,-106.4794
431,-99.812744
432,-105.71011
433,-17.757957
434,-106.79783
435,-99.44617
436,-103.476036
437,-106.64024
438,-99.94718
439,-108.462654
440,-98.36442
441,-102.340195
442,-102.329926
443,-100.6917
444,-99.9272
445,-103.11425
446,-101.3099
447,-95.64118
448,-105.10416
449,-103.74367
450,-101.33109
451,-105.385994
452,-106.48348
453,-101.11263
454,-19.924713
455,-90.78123
456,-102.27246
457,-19.438574
458,-104.9603
459,-106.05728
460,-101.376976
461,-95.92079
462,-100.604904
463,-108.950424
464,-107.80812
465,-107.15404
466,-106.520676
467,-108.27699
468,-103.033554
469,-98.08581
470,-99.88505
471,-98.43263
472,-102.342255
473,-92.45755
474,-98.34427
475,-99.707565
476,-13.753141
477,-11.609931
478,-93.2302
479,-92.743904
480,-101.99826
481,-102.67012
482,-103.97169
483,-96.76974
484,-91.15705
485,-100.87498
486,-101.9638
487,-100.99758
488,-105.31781
489,-110.94602
490,-108.879974
491,-20.589928
492,-27.620533
493,-17.846788
494,-92.09982
495,-13.655471
496,-96.21289
497,-98.14533
498,-93.80179
499,-95.972046
500,-93.15279
501,-97.47914
502,-87.51806
503,-97.59082
504,-98.38448
505,-96.87411
506,-88.44365
507,-93.97385
508,-95.17846
509,-97.19592
510,-16.496002
511,-108.60772
512,-97.2758
513,-96.80066
514,-98.83973
515,-97.1095
516,-103.34956
517,-86.317825
518,-91.73126
519,-10.801079
520,-96.72437
521,-99.254326
522,-98.88057
523,-102.531746
524,-99.32693
525,-94.616295
526,-99.5213
527,-100.118065
528,-98.76407
529,-97.57026
530,-101.49956
531,-105.26572
532,-101.48698
533,-97.239746
534,-85.80074
535,-3.0371625
536,-9.882345
537,-93.30264
538,-87.720726
539,-106.235344
540,-100.46256
541,-91.31706
542,-94.16719
543,-95.098145
544,-98.325005
545,-101.33488
546,6.9265285
547,-10.410771
548,-100.49572
549,-96.28268
550,-102.88161
551,-95.72215
552,-72.34184
553,-101.45315
554,-98.52487
555,-101.083115
556,-100.360405
557,-95.942856
558,16.846487
559,-96.72715
560,-87.30377
561,-99.24219
562,-99.95426
563,-98.03768
564,-99.578156
565,-94.46491
566,-92.07521
567,-83.7478
568,-15.109244
569,-22.898302
570,-22.684467
571,-9.274533
572,-7.311783
573,5.096362
574,-100.169495
575,-66.83072
576,-88.737755
577,-97.23934
578,-104.43355
579,-86.886536
580,-89.23288
581,-92.12304
582,-85.013725
583,-95.81324
584,-88.15376
585,-93.813446
586,-90.53985
587,-97.72627
588,-97.301636
589,-93.0642
590,-90.41743
591,-82.09613
592,-96.32336
593,-85.00926
594,-90.09596
595,-94.40984
596,-88.421196
597,-101.802055
598,-94.298515
599,-102.277145
600,-97.661095
601,-79.634155
602,-126.24199
603,29.971842
604,-70.72635
605,-87.72587
606,-65.83884
607,-84.89625
608,-98.91584
609,-90.71633
610,-66.89365
611,-87.5822
612,-84.95796
613,-77.28764
614,-93.446396
615,-93.91064
616,-88.67548
617,49.909557
618,-63.446186
619,34.842247
620,40.821644
621,-129.18182
622,-97.49317
623,-115.23325
624,-88.674286
625,-95.21697
626,-69.378815
627,-80.26919
628,-51.323505
629,-59.282997
630,27.62307
631,-122.34263
632,28.21386
633,19.556938
634,-99.98516
635,-63.546368
636,-86.66661
637,-19.737116
638,-98.37973
639,-94.34747
640,-82.616745
641,-70.05377
642,-88.57564
643,-90.03361
644,-55.026703
645,-47.862633
646,34.39772
647,-74.19465
648,14.266671
649,54.885952
650,-89.44495
651,32.100037
652,-94.9964
653,-96.85065
654,-109.27425
655,-89.89443
656,-79.317116
657,-85.5197
658,-77.267746
659,-49.966812
660,-16.471657
661,-14.167359
662,-91.94728
663,-75.01059
664,-117.54703
665,-91.68229
666,-112.13967
667,21.464828
668,-74.87273
669,-78.208275
670,-102.00751
671,49.211567
672,33.015244
673,29.792034
674,-75.12064
675,-43.775562
676,-39.31718
677,-59.16308
678,59.16835
679,-120.83911
680,-110.09154
681,44.256264
682,-111.87073
683,-15.705356
684,-79.65007
685,-55.65255
686,27.413826
687,31.954168
688,7.5514126
689,-93.93206
690,28.475922
691,24.189861
692,61.277096
693,21.964891
694,34.846603
695,-106.600365
696,17.756964
697,-61.31445
698,28.614256
699,-83.87772
700,31.286945
701,41.49993
702,22.561956
703,9.851898
704,-98.3192
705,-54.452206
706,14.97158
707,-81.99682
708,-96.19255
709,-58.36455
710,-61.66187
711,-97.61919
712,4.611933
713,9.291938
714,-96.00244
715,-80.600426
716,-18.445374
717,-99.190346
718,7.679873
719,-58.16728
720,-71.99925
721,18.994385
722,1.1831393
723,2.520605
724,-4.988918
725,-87.8695
726,-97.94305
727,11.92771
728,-114.423904
729,-9.838215
730,-95.38433
731,-77.77708
732,-102.80755
733,-13.265735
734,-101.24044
735,-81.421875
736,-77.45264
737,-93.605095
738,-97.94321
739,-104.03912
740,-99.40191
741,-95.05149
742,-91.488174
743,-12.072852
744,6.157798
745,-6.333761
746,-6.6376486
747,0.5683321
748,-7.4338446
749,8.555989
