,"It [455, 3]"
0,-15.838852
1,-122.888725
2,-109.159966
3,-113.390045
4,-116.61144
5,-17.800568
6,-14.189522
7,-114.59837
8,-121.70827
9,-114.38378
10,-117.86788
11,-110.23198
12,-111.92681
13,-105.14659
14,-108.260345
15,-116.17054
16,-15.666083
17,-17.270231
18,-99.109116
19,-116.081116
20,-98.58337
21,-100.434715
22,-106.172554
23,-15.022051
24,-17.93815
25,-20.299824
26,-103.00485
27,-107.40632
28,-98.34009
29,-10.325338
30,-12.622035
31,-103.14562
32,-100.35416
33,-98.28926
34,-114.44989
35,-101.196815
36,-98.80286
37,-23.620033
38,-108.20808
39,-99.68242
40,-106.995804
41,-6.70074
42,-113.9167
43,-16.06099
44,-18.785913
45,-96.68973
46,-123.12418
47,-19.585514
48,-120.35575
49,-111.42002
50,-10.045596
51,-99.79091
52,-15.869321
53,-24.120651
54,-10.783927
55,-16.804863
56,-114.7421
57,-109.496735
58,-102.52681
59,-100.22558
60,-100.650185
61,-97.412445
62,-94.47057
63,-20.088236
64,-109.405174
65,-13.93859
66,-14.447008
67,-5.9104214
68,-21.520096
69,-107.46494
70,-18.954338
71,-115.06448
72,-109.695114
73,-100.23934
74,-15.553916
75,-109.763405
76,-15.911741
77,-103.88611
78,-19.9038
79,-25.736557
80,-97.691734
81,-9.871231
82,-12.266464
83,-103.34283
84,-123.46305
85,-18.284534
86,-19.279556
87,-16.455294
88,-21.279938
89,-23.492962
90,-99.87033
91,-12.220121
92,-99.47375
93,-25.706747
94,-102.97015
95,-99.45557
96,-24.438725
97,-95.833206
98,-19.04452
99,-17.406925
100,-12.103087
101,-96.92928
102,-112.24221
103,-9.737677
104,-15.463492
105,-11.358706
106,-20.728325
107,-20.7459
108,-10.168291
109,-99.02258
110,-101.78876
111,-19.271235
112,-116.47335
113,-101.86597
114,-100.880264
115,-109.77747
116,-21.514874
117,-17.561607
118,-20.787058
119,-98.20134
120,-17.046577
121,-100.549034
122,-17.77902
123,-17.052622
124,-14.642453
125,-106.76165
126,-104.6266
127,-97.3963
128,-17.538317
129,-15.72454
130,-116.04024
131,-20.243198
132,-98.57877
133,-20.047
134,-100.335655
135,-99.58792
136,-105.206764
137,-97.665924
138,-110.83987
139,-124.56391
140,-18.593258
141,-12.987641
142,-102.78188
143,-15.211795
144,-11.333714
145,-24.035978
146,-16.873718
147,-102.11537
148,-17.478306
149,-15.786832
150,-10.009974
151,-116.436935
152,-15.5072975
153,-114.114044
154,-113.50412
155,-99.225044
156,-96.956
157,-97.45141
158,-8.455666
159,-18.355516
160,-102.15374
161,-98.5674
162,-11.512335
163,-99.275665
164,-16.105663
165,-100.43481
166,-18.715923
167,-94.2011
168,-2.6942365
169,-12.400299
170,-100.7183
171,-95.78944
172,-97.77901
173,-105.30709
174,-101.28861
175,-98.292175
176,-96.576385
177,-26.6902
178,-24.336407
179,-102.88333
180,-16.486683
181,-19.150915
182,-106.706696
183,-20.13272
184,-115.879684
185,-109.22303
186,-23.098381
187,-22.296368
188,-18.384165
189,-15.415465
190,-17.289131
191,-17.662556
192,-21.441402
193,-110.24356
194,-117.937225
195,-101.385574
196,-101.09988
197,-103.703804
198,-19.670118
199,-20.56994
200,-19.263525
201,-16.243824
202,-102.89073
203,-12.478939
204,-29.156267
205,-17.06765
206,-16.994158
207,-106.478134
208,-115.22087
209,-99.257805
210,-102.77015
211,-11.796728
212,-98.94613
213,-105.87193
214,-102.53046
215,-99.5035
216,-5.42121
217,-16.726402
218,-19.118977
219,-27.062206
220,-112.44486
221,-114.66
222,-99.1308
223,-14.473978
224,-104.85863
225,-99.82379
226,-16.98451
227,-21.149075
228,-19.570438
229,-18.783154
230,-106.88303
231,-107.05345
232,-98.53734
233,-97.5819
234,-100.79139
235,-100.77628
236,-22.671598
237,-29.367958
238,-18.2014
239,-111.618126
240,-21.836563
241,-14.657515
242,-17.097618
243,-101.96367
244,-22.667658
245,-103.6814
246,-101.632706
247,-109.5817
248,-15.062345
249,-98.03335
250,-14.12138
251,-19.119974
252,-102.62235
253,-23.520454
254,-20.48165
255,-104.79618
256,-121.98217
257,-24.054049
258,-17.695131
259,-27.913246
260,-17.261654
261,-100.07299
262,-101.01762
263,-17.48319
264,-20.78446
265,-101.34988
266,-101.79408
267,-100.72885
268,-24.497215
269,-25.064342
270,-26.79237
271,-104.977356
272,-9.774996
273,-102.24505
274,-107.00869
275,-27.995676
276,-105.51408
277,-128.54805
278,-120.46561
279,-113.88036
280,-22.191397
281,-14.964472
282,-24.097187
283,-18.244589
284,-15.960813
285,-98.82875
286,-105.20275
287,-22.84967
288,-25.510397
289,-103.547325
290,-124.93712
291,-101.54259
292,-103.1915
293,-110.344215
294,-26.519192
295,-26.267996
296,-16.265976
297,-17.599165
298,-106.334015
299,-101.31426
300,-102.41707
301,-25.363745
302,-26.787882
303,-112.96225
304,-104.02708
305,-94.39032
306,-107.18199
307,-19.104216
308,-21.433111
309,-109.49598
310,-108.26022
311,-22.989643
312,-17.584677
313,-103.14271
314,-105.75836
315,-99.81252
316,-101.304955
317,-98.26245
318,-103.85608
319,-14.280492
320,-10.108845
321,-19.80023
322,-18.88628
323,-23.588255
324,-115.96529
325,-17.644136
326,-116.68644
327,-93.66459
328,-96.403206
329,-99.1302
330,-13.00847
331,-18.601196
332,-102.569176
333,-103.93277
334,-100.87484
335,-99.8761
336,-99.563736
337,-99.94263
338,-102.52143
339,-100.68974
340,-16.921719
341,-12.925907
342,-101.562996
343,-21.0252
344,-17.364025
345,-103.42572
346,-102.73609
347,-102.37441
348,-100.17838
349,-101.3736
350,-102.508415
351,-19.52749
352,-17.880669
353,-106.619576
354,-107.97163
355,-16.987698
356,-97.68389
357,-103.64142
358,-99.84709
359,-102.359436
360,-102.649445
361,-100.563255
362,-102.28322
363,-99.68807
364,-97.0245
365,-100.32658
366,-99.399925
367,-101.95726
368,-101.14576
369,-99.700584
370,-95.507034
371,-19.59716
372,-119.086586
373,-27.501778
374,-26.077303
375,-19.390614
376,-98.449356
377,-97.07756
378,-97.308174
379,-101.22007
380,-102.1786
381,-105.27851
382,-8.284448
383,-95.78574
384,-110.09999
385,-7.3051643
386,-112.67357
387,-111.29521
388,-112.18153
389,-110.85487
390,-100.51595
391,-105.10425
392,-100.0131
393,-104.409225
394,-13.194316
395,-15.682261
396,-125.598015
397,-19.465216
398,-103.272606
399,-102.58118
400,-11.064978
401,-102.48787
402,-99.19002
403,-101.98492
404,-99.92484
405,-98.45525
406,-100.872055
407,-0.9082474
408,-101.22072
409,-99.12021
410,-100.59565
411,-102.43329
412,-100.08686
413,-100.30311
414,-9.753133
415,-109.63846
416,-125.46913
417,-103.73088
418,-106.05709
419,-102.46983
420,-111.07193
421,-101.29143
422,-103.65547
423,-104.70987
424,-104.46341
425,-106.74755
426,-105.126495
427,-104.87277
428,-113.33978
429,-108.6457
430,-104.12397
431,-105.66135
432,-108.5914
433,-133.22595
434,-105.52494
435,-132.81342
436,-11.133754
437,-106.78899
438,-112.84361
439,-19.428205
440,-16.195566
441,-106.02625
442,-10.957633
443,-13.671923
444,-105.35951
445,-103.462006
446,-110.66182
447,-101.18391
448,-105.50756
449,-102.39009
450,-102.218704
451,-101.0262
452,-104.580734
453,-103.80564
454,-103.10111
455,-107.400764
456,-107.55141
457,-106.49598
458,-99.08791
459,-104.54197
460,-101.3236
461,-97.783394
462,-5.0549645
463,-101.62591
464,-9.279928
465,-100.030685
466,-4.546757
467,-105.22376
468,-23.225542
469,-107.78908
470,-101.633385
471,-103.06853
472,-100.30734
473,-103.002914
474,-100.90095
475,-103.40781
476,-14.876131
477,-11.588178
478,-103.43467
479,-106.34564
480,-13.997404
481,-12.954621
482,-103.53091
483,-103.34969
484,-15.833848
485,-102.62755
486,-108.28061
487,-22.655798
488,-104.78885
489,-103.194855
490,-16.662388
491,-110.00255
492,-22.915327
493,-105.63191
494,-107.088135
495,-109.64473
496,-18.73077
497,-14.881651
498,-103.24542
499,-105.50007
500,-105.58897
501,-102.11278
502,-106.257835
503,-100.79198
504,-103.82352
505,-106.65118
506,-99.851814
507,-106.40848
508,-125.601906
509,-7.4603567
510,-104.13342
511,-105.51355
512,-105.33474
513,-105.290886
514,-106.013794
515,-96.424675
516,-100.988914
517,-100.39528
518,-99.55894
519,-98.25051
520,-102.80214
521,-101.92982
522,-105.18615
523,-6.079675
524,-108.85524
525,-101.20435
526,-115.32078
527,-100.756294
528,-107.00047
529,-100.550026
530,-106.57028
531,-104.67724
532,-104.13417
533,-105.46223
534,-16.065104
535,-15.521188
536,-12.744792
537,-14.828608
538,-104.06275
539,-122.40125
540,-108.84852
541,-113.227135
542,-107.9407
543,-7.780779
544,-13.881406
545,-123.45043
546,-128.8139
547,-17.180063
548,-109.23233
549,-104.60786
550,-101.54238
551,-102.0367
552,-106.80604
553,-106.68333
554,-103.792915
555,-102.30687
556,-103.74532
557,-97.33786
558,-122.09691
559,-107.22366
560,-108.5189
561,-117.186935
562,-102.27774
563,-104.31899
564,-129.67728
565,-101.997475
566,-99.03076
567,-17.908611
568,-103.43794
569,-104.984604
570,-6.9042845
571,-20.330679
572,-18.230043
573,-14.869002
574,-106.011086
575,-99.69689
576,-100.29079
577,-127.33186
578,-107.92442
579,-15.473755
580,-19.658667
581,-15.500735
582,-101.26262
583,-11.9517
584,-9.1628895
585,-101.058304
586,-99.58986
587,-16.654747
588,-15.492645
589,-9.317256
590,-13.742711
591,-103.92062
592,-105.02196
593,-18.547955
594,-107.35409
595,-99.34787
596,-103.26507
597,-130.81561
598,-97.48398
599,-97.82648
600,-98.59551
601,-19.86897
602,-14.621733
603,-19.030302
604,-19.625593
605,-99.76162
606,-99.968506
607,-100.45111
608,-97.65137
609,-99.52322
610,-12.998068
611,-14.370143
612,-101.10803
613,-101.08413
614,-103.495705
615,-102.07586
616,-17.404398
617,-14.896569
618,-22.418625
619,-24.636585
620,-101.29459
621,-99.6921
622,-100.83222
623,-101.73042
624,-101.53482
625,-11.693258
626,-9.394432
627,-107.142746
628,-10.689096
629,-11.168092
630,-14.292787
631,-98.02936
632,-101.50936
633,-110.041664
634,-21.461098
635,-12.908694
636,-97.9548
637,-23.278177
638,-113.61899
639,-17.02048
640,-15.769316
641,-101.63542
642,-18.709469
643,-103.92161
644,-102.94965
645,-19.070654
646,-19.126705
647,-100.39614
648,-103.47973
649,-100.87573
650,-100.83021
651,-100.19415
652,-18.57996
653,-99.14377
654,-98.98412
655,-99.91484
656,-105.22263
657,-102.496
658,-12.146602
659,-100.26447
660,-100.419075
661,-98.95699
662,-100.655136
663,-15.118402
664,-12.494467
665,-10.140231
666,-10.243199
667,-10.930951
668,-11.629999
669,-104.81196
670,-9.521393
671,-11.9668665
672,-99.45582
673,-103.427475
674,-103.12513
675,-102.5563
676,-16.112608
677,-16.848043
678,-12.248861
679,-15.013723
680,-14.498393
681,-11.540723
682,-5.5018363
683,-93.990265
684,-105.40566
685,-9.856849
686,-10.959777
687,-1.381514
688,-99.21455
689,-103.95688
690,-99.73281
691,-114.877396
692,-95.55309
693,-101.44181
694,-100.51635
695,-15.991873
696,-104.58001
697,-100.099884
