,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9,It 10,It 11,It 12,It 13,It 14,It 15,It 16,It 17,It 18,It 19,It 20,It 21,It 22,It 23,It 24
0,79.5945402,300.5449284,-16.1844988,296.5769977,-23.53609241,301.1345173,291.5046519,-10.75537654,177.2825814,289.7425994,-46.01088744,-36.22474224,117.4118214,116.713972,309.8106433,23.69691568,311.0741959,-19.2315553,306.1114246,312.014579,-29.62216359,299.289453,-70.56705434,291.1043695,308.9310867
1,296.0305791,299.878169,4.240325183,-100.9179461,-53.00524632,300.6819085,-88.73154793,-13.87719317,314.6472188,295.8172356,-52.75356283,85.24437454,13.93348003,-67.62048461,89.04748432,1.472859455,311.2258156,67.18672961,-73.27167676,310.3509116,-37.29157929,295.2380161,-59.36528924,291.9571323,310.2836549
2,296.0910382,300.3002797,-61.20513401,-76.61821254,20.94550074,300.5285549,-99.02356954,179.6604964,36.07359178,291.6452189,-55.5457829,105.9751821,24.15422169,84.26516628,-13.95061839,-8.732389447,310.9080864,-13.58990543,122.8845421,313.4522283,30.51328388,298.9097454,-66.62048624,290.5415774,311.3272721
3,12.61944423,299.1127365,-7.409471683,-69.53228546,68.3056794,303.0558305,-102.1089951,152.0817861,315.5522981,289.6145927,-39.8221689,293.010867,21.62312391,306.2061424,307.6211173,-47.40065929,313.652926,-47.55999398,6.515627284,311.4651532,-66.21761106,297.3229083,-22.19086935,292.6064382,308.2978134
4,296.1798902,301.4655778,-4.006057545,7.419557779,-17.62919647,301.5569938,-102.2010865,122.2325677,316.4194974,285.8203684,-39.74214035,-27.85406847,178.7735695,305.6297013,149.6981275,75.59199761,309.9926457,-13.70050594,-86.59159529,311.5631531,-29.31398434,296.3134083,-55.3357824,292.1976822,309.2210629
5,63.63936623,16.22959909,4.423182362,-29.04708932,7.693632113,302.8301932,291.7162617,7.524710241,-49.59431294,285.8743849,-52.02156793,31.76104517,48.60989675,-55.49578798,113.489875,167.5201381,192.6705013,104.726431,-73.83031769,311.8471725,-40.4854756,297.7091264,-69.02531582,66.57887112,310.5697905
6,35.21934952,301.4319807,40.80396509,9.729006161,-39.64841721,304.1688391,-98.34808719,64.76441099,200.799596,286.6439925,-77.81771919,293.2062306,22.68010183,21.60172133,310.0345755,13.71073338,311.419983,-44.16458907,306.3755523,312.4090599,129.1560922,296.5291373,-63.58092877,289.8307489,310.3317822
7,296.5299463,300.2561153,-45.78274529,-11.2876485,9.83885214,301.2642625,288.83816,73.6413742,315.3881953,294.6672436,-33.5184995,293.2897593,-44.30142923,96.39524731,308.3118587,51.40730362,206.2389528,-4.55780178,-64.43626134,310.7781719,-20.07340313,298.6834882,-58.49954926,292.3852308,310.3785121
8,294.7738139,300.6287646,29.18440345,-82.97471483,-17.53019917,304.0674488,289.9022874,2.732981581,-77.53532564,292.7638352,-53.95727903,-3.73685706,62.77473562,65.36951684,310.4823803,-39.05665714,171.7720566,18.40691723,-56.08077384,311.0046568,-31.76834084,298.32216,-56.69648035,291.7549145,310.2297518
9,297.3179774,301.3130864,-47.61525749,-92.44358832,19.57476347,301.4685332,-91.88592171,94.51506867,314.8112842,287.8179265,-61.01461307,293.5698446,4.732034454,7.254504194,44.62682626,-4.564572735,311.4116728,-5.15248835,-82.03021032,310.3654191,52.78376021,297.1840982,-47.48665536,290.9641696,310.5116076
10,296.5101969,300.655978,12.18078299,-49.90255461,5.734147488,304.2849948,69.68604436,150.5467399,84.07696899,292.8275716,-49.7110204,11.94876571,-25.83941365,-46.86145178,307.5638431,-40.07781471,311.5268757,-31.99502963,-45.01782548,311.195409,107.248791,294.9031109,-39.80192593,-93.13101297,310.120948
11,296.375023,302.1474746,-33.64488714,34.46306944,-23.24100456,301.0654252,-80.25005871,25.33857973,-32.65623009,292.2819058,-75.0378915,294.1104411,-46.96970991,-16.58888622,308.444294,68.1759298,311.8000186,105.9942365,-46.13836262,311.2565297,-43.40424595,298.0313784,-48.31451353,-79.96534565,309.3988037
12,297.6370591,300.9572531,7.020405538,12.89169684,2.873103765,302.8282276,-101.5392351,54.77343883,315.2998348,294.3573216,-45.89420121,294.0737061,25.98025451,305.4698757,308.1382304,-16.17619643,311.0700282,79.21343099,155.1104919,310.9766327,6.098484588,296.5372165,-60.75672383,292.8294325,310.3738786
13,295.7519389,58.7111673,5.755858062,-31.64246586,-14.60294291,301.2568986,287.882097,292.8850775,-27.24493749,286.6649777,-49.69892501,123.9346867,-31.76372838,122.4991004,309.2004615,305.2275968,307.4773784,65.75369851,-85.25643991,312.4705473,-9.225631371,297.4992346,-65.99819425,292.3563129,310.6874236
