,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9,It 10,It 11,It 12,It 13,It 14,It 15,It 16,It 17,It 18,It 19,It 20,It 21,It 22,It 23,It 24,It 25,It 26,It 27,It 28,It 29
0,-112.00969,-27.989706,-108.062935,-126.62526,-122.24563,-97.630486,-17.01358,-101.02294,-98.783775,-103.38403,-112.00969,-27.989706,-108.062935,-126.62526,-122.24563,-97.630486,-17.01358,-101.02294,-98.783775,-103.38403,-17.32413,-116.01029,-98.84912,-104.12899,-114.11009,-98.867165,-111.39183,-99.31816,-13.505044,-117.09033
1,-17.595879,-99.42306,-28.216646,-20.396776,-25.425823,-21.091867,-21.613508,-26.246292,-101.30689,-16.976553,-17.595879,-99.42306,-28.216646,-20.396776,-25.425823,-21.091867,-21.613508,-26.246292,-101.30689,-16.976553,-110.7823,-111.240036,-101.46571,-102.46086,-117.33482,-17.98638,-18.500616,-107.093956,-98.81037,-119.3085
2,-26.51305,-15.592512,-112.63822,-18.593863,-104.04522,-12.633571,-110.57693,-22.903605,-102.493034,-23.22112,-26.51305,-15.592512,-112.63822,-18.593863,-104.04522,-12.633571,-110.57693,-22.903605,-102.493034,-23.22112,-108.67189,-110.06856,-104.3041,-106.98039,-120.63047,-109.10805,-116.155914,-19.55271,-18.28687,-100.8938
3,-114.9615,-112.75902,-110.09459,-110.52453,-116.62493,-18.885563,-105.164536,-15.260547,-118.401115,-16.228142,-114.9615,-112.75902,-110.09459,-110.52453,-116.62493,-18.885563,-105.164536,-15.260547,-118.401115,-16.228142,-109.41502,-106.69412,-110.08521,-117.04949,-108.54713,-116.40641,-115.775894,-115.4583,-120.99809,-111.82879
4,-122.31608,-111.13804,-108.79138,-116.10034,-23.005499,-113.23727,-112.05194,-115.82417,-14.135109,-112.43066,-122.31608,-111.13804,-108.79138,-116.10034,-23.005499,-113.23727,-112.05194,-115.82417,-14.135109,-112.43066,-117.28212,-109.284805,-117.12384,-107.74591,-111.76444,-109.641975,-116.369225,-112.946815,-111.64071,-116.8768
5,-108.31436,-121.50153,-113.35704,-113.81499,-103.5783,-120.0831,-109.335526,-113.9929,-120.98814,-106.28079,-108.31436,-121.50153,-113.35704,-113.81499,-103.5783,-120.0831,-109.335526,-113.9929,-120.98814,-106.28079,-112.49629,-109.667015,-20.304167,-116.00622,-105.314445,-113.21369,-114.93114,-109.649864,-113.925476,-117.78427
6,-115.60714,-107.42687,-112.97981,-111.97474,-120.37974,-107.50591,-109.02945,-120.48324,-10.845969,-119.74033,-115.60714,-107.42687,-112.97981,-111.97474,-120.37974,-107.50591,-109.02945,-120.48324,-10.845969,-119.74033,-114.55273,-114.36921,-109.27236,-115.8132,-110.0882,-111.5624,-116.178955,-117.7722,-116.08256,-122.31868
7,-122.39299,-107.23267,-115.17761,-111.27227,-120.05179,-124.86505,-112.86764,-114.50096,-100.814156,-122.44331,-122.39299,-107.23267,-115.17761,-111.27227,-120.05179,-124.86505,-112.86764,-114.50096,-100.814156,-122.44331,-111.62088,-109.51255,-114.56619,-113.90576,-121.674286,-118.07998,-114.17323,-114.22663,-111.378456,-120.45798
8,-114.30998,-106.29399,-109.70627,-114.60382,-113.30735,-113.76245,-116.222626,-113.14116,-101.691505,-115.76425,-114.30998,-106.29399,-109.70627,-114.60382,-113.30735,-113.76245,-116.222626,-113.14116,-101.691505,-115.76425,-118.50404,-106.1883,-119.31935,-113.809784,-114.72281,-109.200615,-114.69261,-117.35541,-114.77341,-109.79668
9,-112.948845,-115.46149,-108.85841,-109.450134,-113.52424,-110.01891,-114.56516,-113.92739,-96.41721,-118.19567,-112.948845,-115.46149,-108.85841,-109.450134,-113.52424,-110.01891,-114.56516,-113.92739,-96.41721,-118.19567,-110.392624,-19.988468,-108.136925,-106.44505,-107.92161,-121.953865,-109.48822,-115.45336,-112.52642,-108.40721
