,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9,It 10,It 11,It 12,It 13,It 14,It 15,It 16,It 17,It 18,It 19,It 20,It 21,It 22,It 23,It 24,It 25,It 26,It 27,It 28,It 29
0,285.3496521,316.1593184,307.4190893,308.5245646,315.4844583,-16.49559276,311.483921,309.9378197,301.411674,303.945066,285.3496521,316.1593184,307.4190893,308.5245646,315.4844583,-16.49559276,311.483921,309.9378197,301.411674,303.945066,304.5714042,317.1525945,298.2357852,293.2085118,314.2094966,124.3585928,303.5223061,147.0926706,316.8509854,317.6914155
1,291.7623994,315.5505944,309.6845695,309.0572997,315.5807006,150.8327468,312.4340753,311.584568,298.6691707,60.1756893,291.7623994,315.5505944,309.6845695,309.0572997,315.5807006,150.8327468,312.4340753,311.584568,298.6691707,60.1756893,303.7367705,316.3149843,296.7015453,75.70463074,314.7775136,11.03948894,305.2527762,-85.91646652,316.0863985,318.114827
2,287.9051378,113.8336695,308.3822711,307.4523272,314.6171048,41.28211896,313.0426523,311.8215762,299.2725456,305.4191067,287.9051378,113.8336695,308.3822711,307.4523272,314.6171048,41.28211896,313.0426523,311.8215762,299.2725456,305.4191067,306.0099966,314.3766227,298.2696494,291.7817518,312.7372806,18.98864268,304.3094287,311.6103093,316.0698832,317.5087076
3,290.0353802,315.6961023,307.9902048,304.8089309,316.6369911,-0.798042654,312.3485168,312.4393392,301.5068183,304.9240486,290.0353802,315.6961023,307.9902048,304.8089309,316.6369911,-0.798042654,312.3485168,312.4393392,301.5068183,304.9240486,304.2421276,316.050272,297.437309,294.4725601,313.6798809,143.4477648,305.2531497,305.711923,316.751036,317.2047371
4,283.9494573,316.224973,308.1258982,307.0180266,316.4081874,4.1736658,312.4521108,311.5822311,302.06427,305.2460604,283.9494573,316.224973,308.1258982,307.0180266,316.4081874,4.1736658,312.4521108,311.5822311,302.06427,305.2460604,305.2867304,315.1029697,297.9747912,293.3173008,313.6014853,-14.81085343,303.5938005,73.49881319,317.1303954,317.4838571
5,288.8448908,316.7313266,309.4920656,303.3926518,316.8058044,1.312070147,312.3985574,311.934863,300.4172563,-83.57319017,288.8448908,316.7313266,309.4920656,303.3926518,316.8058044,1.312070147,312.3985574,311.934863,300.4172563,-83.57319017,304.9245105,315.9123618,297.8698293,294.4115679,313.9956053,-26.46773141,303.5639718,312.5222428,316.9513804,317.6344279
6,289.2441572,315.704261,308.7968319,309.347883,316.3140765,18.87155977,312.2271889,311.5176776,299.8495311,305.4605494,289.2441572,315.704261,308.7968319,309.347883,316.3140765,18.87155977,312.2271889,311.5176776,299.8495311,305.4605494,305.2320627,315.6499649,296.8525695,295.4080037,314.3242718,-1.759030924,302.6787731,28.7980695,316.4163545,316.8266739
7,289.7165109,314.2759747,308.1165354,139.166772,315.975342,11.70213868,311.6054093,312.1043179,292.7634043,305.4757014,289.7165109,314.2759747,308.1165354,139.166772,315.975342,11.70213868,311.6054093,312.1043179,292.7634043,305.4757014,304.2587232,316.5275375,297.0426548,290.9579983,313.5331082,131.9985721,306.0225281,311.9474297,316.8969015,316.9993917
8,282.9665395,316.5357657,307.9537626,304.9902792,317.3095216,-44.81099802,312.0411748,309.6638543,-9.564687052,305.1376362,282.9665395,316.5357657,307.9537626,304.9902792,317.3095216,-44.81099802,312.0411748,309.6638543,-9.564687052,305.1376362,303.4862134,316.6798,183.735517,114.5377856,313.4959136,18.1685021,304.9104767,313.6198692,316.1467388,318.3253513
9,286.0156408,316.4241568,309.3989777,308.1048947,316.1197344,33.44385877,312.8206899,310.3482929,298.252167,304.639278,286.0156408,316.4241568,309.3989777,308.1048947,316.1197344,33.44385877,312.8206899,310.3482929,298.252167,304.639278,302.2418881,315.3509308,298.4492136,288.2747185,313.1972405,71.73467172,303.4311051,312.2423512,316.6090282,317.8796738
10,287.5651074,314.6403639,307.3932306,306.8859656,315.6645941,-1.536594727,312.9201904,314.5557166,300.4162237,305.1447035,287.5651074,314.6403639,307.3932306,306.8859656,315.6645941,-1.536594727,312.9201904,314.5557166,300.4162237,305.1447035,306.7975932,317.30105,298.5249133,289.9355727,313.9300746,124.6328718,304.2296853,311.069933,316.3698294,317.1846649
11,290.8907255,315.2350379,309.3841795,308.31967,317.7808169,84.43652764,311.2318827,311.9124929,301.8965043,305.5335947,290.8907255,315.2350379,309.3841795,308.31967,317.7808169,84.43652764,311.2318827,311.9124929,301.8965043,305.5335947,9.19160694,316.1104772,296.8690329,-9.784774211,313.8828614,137.1196207,303.942854,22.61507106,316.468322,317.2305158
12,283.1555215,313.5685036,309.2329418,303.1053034,316.29314,136.5343421,312.2727092,311.5889278,299.5043499,303.3686763,283.1555215,313.5685036,309.2329418,303.1053034,316.29314,136.5343421,312.2727092,311.5889278,299.5043499,303.3686763,304.1266647,315.6366282,296.2000865,43.4407915,313.7300922,13.02096677,305.3276231,-94.10045717,315.1468338,316.6329906
