,"Algo generation: 2, gene: (500, 3)"
0,-120.00397
1,-118.05987
2,-111.41539
3,-117.42966
4,-117.414604
5,-117.004875
6,-112.6371
7,-123.174576
8,-117.53713
9,-121.19741
10,-116.13284
11,-115.25851
12,-121.11323
13,-118.0856
14,-116.541
15,-116.982635
16,-115.772224
17,-117.255554
18,-116.37459
19,-116.865135
20,-114.42369
21,-117.79707
22,-123.82585
23,-113.90344
24,-112.81368
25,-116.33093
26,-115.45305
27,-112.04397
28,-110.651306
29,-119.81847
30,-114.85082
31,-112.97557
32,-114.41318
33,-114.19179
34,-116.32926
35,-119.038925
36,-115.70787
37,-122.42202
38,-115.75999
39,-121.585175
40,-124.52447
41,-116.46637
42,-115.05722
43,-119.32349
44,-119.162445
45,-118.4898
46,-123.97913
47,-114.907135
48,-114.78714
49,-119.28785
50,-120.55795
51,-118.08075
52,-118.049484
53,-120.960884
54,-114.37578
55,-121.872375
56,-115.98554
57,-117.915405
58,-120.03026
59,-122.589836
60,-113.666855
61,-115.01815
62,-118.5092
63,-115.68849
64,-119.83194
65,-116.89317
66,-113.47887
67,-115.44268
68,-113.634285
69,-122.05984
70,-117.44033
71,-114.127045
72,-117.614944
73,-115.56481
74,-115.41194
75,-116.67728
76,-120.51173
77,-113.673454
78,-120.43895
79,-115.474625
80,-116.51448
81,-115.32863
82,-114.05853
83,-116.51622
84,-118.25206
85,-117.47859
86,-114.679794
87,-115.76457
88,-113.32714
89,-117.03645
90,-113.517365
91,-116.9009
92,-114.3616
93,-114.04385
94,-117.6962
95,-115.169334
96,-113.90496
97,-116.361275
98,-117.732346
99,-119.169655
100,-117.83423
101,-111.745476
102,-117.58002
103,-122.99146
104,-112.379585
105,-113.58616
106,-116.207436
107,-112.32978
108,-116.52901
109,-113.41016
110,-119.28325
111,-117.68222
112,-114.53212
113,-114.07717
114,-117.815506
115,-112.1051
116,-116.84025
117,-113.016464
118,-119.488235
119,-115.374794
120,-114.13238
121,-114.81923
122,-117.05415
123,-113.51354
124,-117.943054
125,-112.793785
126,-116.74874
