,"It [268, 1]"
398,-109.008835
399,-107.52247
400,-104.57838
401,-103.370094
402,-105.369865
403,-103.64033
404,-103.1219
405,-102.69077
406,-102.70044
407,-102.85106
408,-104.55109
409,-102.302475
410,-101.25552
411,-100.56698
412,-101.53785
413,-100.36928
414,-101.138916
415,-103.72266
416,-99.1291
417,-102.68536
418,-100.95759
419,-97.101746
420,-99.18286
421,-103.957115
422,-100.9574
423,-99.92815
424,-96.7253
425,-100.00909
426,-101.34603
427,-100.44498
428,-100.43611
429,-97.65562
430,-88.01764
431,-103.61915
432,-95.27804
433,-95.79591
434,-97.63633
435,-102.56648
436,-105.76865
437,-100.1534
438,-100.55852
439,-100.4049
440,-100.838165
441,-102.579575
442,-99.71798
443,-98.87522
444,-99.61447
445,-98.18534
446,-100.6073
447,-98.4557
448,-97.95869
449,-100.59503
450,-99.11981
451,-96.11421
452,-100.94363
453,-90.68318
454,-99.16321
455,-95.45628
456,-99.10571
457,-97.77361
458,-98.929985
459,-94.82319
460,-100.20389
461,-89.37771
462,-94.73319
463,-93.7257
464,-97.92825
465,-94.47679
466,-100.53639
467,-96.05395
468,-97.568375
469,-100.47761
470,-102.52164
471,-99.94453
472,-96.34088
473,-99.10278
474,-93.96501
475,-96.90795
476,-92.67835
477,-100.29798
478,-99.926636
479,-103.71579
480,-105.06516
481,-102.0071
482,-99.686966
483,-89.40968
484,-98.796585
485,-100.61728
486,-103.65746
487,-101.51724
488,-99.40581
489,-102.87167
490,-102.47349
491,-105.39931
492,-104.374275
493,-105.04261
494,-104.517914
495,-105.18619
496,-104.75355
497,-106.39061
498,-103.31439
499,-102.94082
500,-104.611855
501,-105.26397
502,-105.56834
503,-103.07806
504,-100.97165
505,-103.35898
506,-104.76217
507,-94.532295
508,-102.43167
509,-101.38943
510,-103.599304
511,-109.24469
512,-105.2686
513,-20.412222
514,-105.0685
515,-24.15187
516,-99.8505
517,-100.88433
518,-91.0893
519,-98.66531
520,-83.91022
521,-100.79163
522,-103.5346
523,-102.949844
524,-102.85066
525,-105.04105
526,-104.145515
527,-103.3333
528,-23.258083
529,-102.68743
530,-102.9722
531,-22.160389
532,-98.68544
533,-99.87207
534,-92.7022
535,-99.11436
536,-97.7684
537,-105.4249
538,-21.941797
539,-102.11025
540,-96.256775
541,-84.29449
542,-96.567505
543,-100.41899
544,-93.293
545,-98.61649
546,1.9501741
547,-91.30621
548,-97.002945
549,-85.22188
550,-89.74055
551,8.5900545
552,-99.11117
553,-87.76119
554,-99.25815
555,-99.568794
556,-100.77653
557,-90.47331
558,-98.40477
559,-94.58986
560,-93.27873
561,-103.19354
562,-93.91659
563,-102.66178
564,-104.97119
565,-99.43121
566,-114.80291
567,0.29162115
568,-99.941574
569,-93.4127
570,-96.280594
571,-78.56902
572,-94.123344
573,-95.5978
574,-82.01651
575,-98.94934
576,-69.39377
577,-97.35925
578,-93.12261
579,7.782608
580,2.1060882
581,-93.71155
582,30.58647
583,-51.682007
584,-54.151764
585,-79.27721
586,-96.43427
587,-98.39997
588,-89.86241
589,-88.11085
590,-87.86166
591,-92.539566
592,-96.199425
593,-96.97474
594,-83.14061
595,-100.381966
596,-97.74988
597,-96.19792
598,-103.179276
599,-96.621666
600,-98.1633
601,-94.48748
602,-95.83557
603,-99.8173
604,-98.316574
605,-95.78488
606,-88.774536
607,-89.76418
608,-90.879555
609,-99.08835
610,-93.41689
611,-92.53644
612,-102.6981
613,-88.458275
614,-102.883194
615,-104.14522
616,-77.453285
617,-90.42726
618,27.227043
619,9.555195
620,1.8013679
621,-93.76406
622,-96.071495
623,20.268106
624,-100.940384
625,17.820276
626,-95.87998
627,-88.77309
628,4.55254
629,-12.621546
630,-19.984621
631,-26.933077
632,-105.71491
633,-105.328285
634,0.5373646
635,-98.31725
636,-10.334447
637,-3.0291243
638,-9.929143
639,-97.042854
640,-91.51598
641,-91.93661
642,12.841925
643,-94.522385
644,-94.517624
645,-97.05588
646,-92.74011
647,-95.77421
648,-98.72252
649,-97.97836
650,-95.74433
651,9.470535
652,-97.07868
653,8.134942
654,10.136781
655,22.795496
656,-101.53299
657,-91.510994
658,-94.21094
659,38.394367
660,52.11097
661,-56.87519
662,-100.69173
663,-96.60467
664,-89.376114
665,-95.22576
666,-94.76752
667,-78.657875
668,-87.58743
669,-82.71193
670,-97.31312
671,-90.707634
672,-92.274185
673,-93.57663
674,-94.4443
675,-98.53205
676,-92.71211
677,-98.781944
678,-101.11121
679,-101.06668
680,-102.6637
681,-89.851074
682,-96.9465
683,-97.0054
684,-102.18576
685,-109.25807
686,-93.18486
687,-96.98834
688,-96.779884
689,-105.79975
690,-102.84584
691,-103.71378
692,-101.76486
693,-102.78518
694,-95.91437
695,-97.494804
696,-95.218925
697,-96.423134
698,-97.769936
699,-101.85374
700,-104.009895
701,-96.285706
702,-104.43764
703,-103.67836
704,-10.53658
705,-104.3618
706,-102.8713
707,-101.67926
708,-99.19707
709,-98.988014
710,-97.91272
711,-95.64878
712,-98.259254
713,-99.908134
714,-99.45044
715,-102.34166
716,-102.07881
717,-99.597824
718,-80.51695
719,-96.347534
720,-95.11631
721,-98.022896
722,-93.07437
723,-93.05809
724,-94.73355
725,-96.55796
726,-122.2792
727,-102.08605
728,-100.90574
729,-99.417816
730,-102.609215
731,-78.74661
