,"It [288, 1]"
398,-118.29905
399,-101.70091
400,-99.36527
401,-96.00761
402,-9.122695
403,-114.17029
404,-113.94932
405,-102.652626
406,-101.51976
407,-15.066961
408,-13.202625
409,-104.57139
410,-106.264244
411,-100.00658
412,-100.70889
413,-102.50395
414,-101.856255
415,-117.852905
416,-28.160477
417,-98.26188
418,-92.9913
419,-93.154495
420,-121.33496
421,-122.83064
422,-93.741005
423,-91.81085
424,-120.77472
425,-92.46572
426,-122.548035
427,-21.23075
428,-25.504448
429,-96.17153
430,-121.00533
431,-92.959335
432,-102.8488
433,-103.37204
434,-106.056305
435,-22.883461
436,-32.43927
437,-123.203896
438,-145.27954
439,-139.51689
440,-94.25708
441,-97.1051
442,-139.03122
443,-99.72907
444,-120.79087
445,-109.74635
446,-98.77879
447,-141.19852
448,-95.577225
449,-95.06846
450,-95.807594
451,-96.37817
452,-99.33079
453,-38.39783
454,-102.546165
455,-31.265337
456,-18.936066
457,-12.394117
458,-16.9648
459,-27.862766
460,-29.272028
461,-9.11084
462,-14.242423
463,-20.052235
464,-128.78456
465,-99.284676
466,-99.07079
467,-99.49307
468,-24.240326
469,-27.569803
470,-28.843172
471,-30.278143
472,-22.341543
473,-95.59683
474,-95.5643
475,-94.76387
476,-93.45891
477,-90.73418
478,-100.70266
479,-97.59995
480,-95.232376
481,-127.99971
482,-100.82504
483,-95.745056
484,-130.20844
485,-19.574718
486,-101.58322
487,-18.054672
488,-109.2637
489,-103.40052
490,-97.2614
491,-98.85573
492,-132.19221
493,-16.087807
494,-110.509796
495,-99.47147
496,-97.605316
497,-105.279305
498,-102.218605
499,-101.42276
500,-102.14406
501,-94.73461
502,-97.12993
503,-99.125824
504,-102.36364
505,-96.11248
506,-100.62845
507,-108.867645
508,-101.09624
509,-112.46387
510,-103.76366
511,-103.8483
512,-99.67574
513,-126.48943
514,-105.02353
515,-102.907
516,-108.59707
517,-106.83476
518,-102.6941
519,-100.762726
520,-100.15413
521,-104.51309
522,-104.37368
523,-101.97635
524,-105.127525
525,-102.75452
526,-105.50068
527,-127.01071
528,-121.70264
529,-123.96742
530,-102.67122
531,-106.36968
532,-101.41141
533,-104.886505
534,-105.248405
535,-102.26299
536,-102.42252
537,-101.53484
538,-101.69052
