,"It [141, 3]"
399,-103.01752
400,-102.18972
401,-102.24663
402,-102.98519
403,-101.322174
404,-105.09605
405,-102.55216
406,-100.93455
407,-100.20518
408,-96.2934
409,-1.898856
410,-102.387
411,-100.85187
412,-99.73448
413,-100.22854
414,-100.50118
415,-101.11994
416,-101.63925
417,-101.2019
418,-103.49152
419,-97.7537
420,-108.24037
421,-20.24269
422,-105.16387
423,-100.934906
424,-99.89023
425,-98.248886
426,-98.78012
427,-102.82646
428,-22.287651
429,-25.97869
430,-27.43005
431,-106.55845
432,-108.14307
433,-109.16558
434,-107.25306
435,-112.89087
436,-108.476
437,-106.2881
438,-104.5858
439,-104.93576
440,-105.317184
441,-105.52861
442,-101.658775
443,-103.221535
444,-102.628
445,-108.34364
446,-108.957634
447,-107.89757
448,-109.28323
449,-104.75546
450,-103.695694
451,-101.71442
452,-101.384735
453,-101.9385
454,-101.539665
455,-33.89615
456,-31.594622
457,-41.572598
458,-39.464203
459,-101.839516
460,-104.72252
461,-104.61173
462,-107.16808
463,-106.82993
464,-105.454056
465,-103.203316
466,-103.49569
467,-100.24185
468,-100.95739
469,-99.976974
470,-103.48319
471,-104.69324
472,-100.85708
473,-102.85694
474,-102.22488
475,-104.25697
476,-102.99924
477,-106.0068
478,-106.73737
479,-107.83271
480,-105.091484
481,-102.80469
482,-105.51931
483,-102.31944
484,-101.89335
485,-135.96884
486,-101.0188
487,-100.90187
488,-100.86989
489,-101.10373
490,-100.81053
491,-127.44356
492,-18.530312
493,-116.55401
494,-104.22093
495,-103.31262
496,-101.53713
497,-101.031845
498,-102.26625
499,-103.595146
500,-116.51916
501,-104.75244
502,-101.70608
503,-101.556
504,-101.40024
505,-101.75688
506,-101.100365
507,-101.406204
508,-101.8963
509,-105.638435
510,-109.04151
511,-102.33535
512,-101.60039
513,-100.6971
514,-114.33695
515,-28.891607
516,-101.24633
517,-30.297293
518,-107.39035
519,-104.93245
520,-104.15649
521,-106.86476
522,-101.389496
523,-100.47919
524,-100.43477
525,-100.107155
526,-100.57962
527,-99.85213
528,-103.73281
529,-100.426125
530,-103.916176
531,-105.6461
532,-102.229996
533,-103.09189
534,-101.158394
535,-100.44456
536,-99.846405
537,-99.60098
538,-99.83592
539,-99.254326
540,-99.668434
541,-112.68346
542,-100.81297
543,-101.38242
544,-101.90935
545,-100.36575
546,-100.12786
547,-100.59815
548,-102.33415
549,-111.24182
550,-104.51183
551,-102.04565
552,-101.64991
553,-100.733444
554,-101.21788
555,-100.44564
556,-101.32854
557,-102.96002
558,-102.09474
559,-102.733406
560,-102.8731
561,-103.80135
562,-103.39631
563,-114.585144
564,-110.05197
565,-104.611824
566,-105.37821
567,-108.74521
568,-106.24114
569,-104.26398
570,-110.23088
571,-109.72182
572,-110.386284
573,-102.54631
574,-102.48026
575,-103.72361
576,-102.59493
577,-102.44218
578,-106.17016
579,-104.1216
580,-105.90409
581,-105.19159
582,-104.47107
583,-104.03714
584,-104.81923
585,-106.16853
586,-104.1715
587,-104.378075
588,-104.60686
589,-105.59806
590,-103.5025
591,-103.0527
592,-104.32244
593,-104.0158
594,-100.668526
595,-101.763176
596,-103.938545
597,-102.96505
598,-102.76937
599,-103.499954
600,-101.879845
601,-103.3825
602,-113.40266
603,-103.951706
604,-110.3723
605,-106.71285
606,-105.78276
607,-106.113365
608,-106.6064
609,-105.26849
610,-105.08233
611,-105.276955
612,-105.99
613,-108.3329
614,-108.664474
615,-110.95099
616,-103.9612
617,-103.963806
618,-105.20234
619,-107.05966
620,-106.77235
621,-36.84533
622,-106.16293
623,-107.58799
624,-38.481472
625,-40.050922
626,-112.079605
627,-109.171646
628,-107.60373
629,-35.456615
630,-111.38746
631,-107.21936
632,-123.7939
633,-112.24497
634,-105.49565
635,-103.2798
636,-105.97423
637,-106.32599
638,-120.70879
639,-38.162304
640,-108.57448
641,-108.76716
642,-110.07844
643,-110.61252
644,-110.35033
645,-109.63296
646,-109.291306
647,-115.460266
648,-106.37155
649,-108.13623
650,-116.4435
651,-105.90077
652,-106.372
653,-115.49609
654,-32.69609
655,-28.234926
656,-106.19758
657,-28.533297
658,-117.051765
659,-106.21727
660,-109.11411
661,-35.51958
662,-38.857082
663,-39.6576
664,-115.08024
665,-109.48082
666,-106.85829
667,-111.05897
668,-106.51151
669,-107.714584
670,-16.987917
671,-106.718994
672,-108.36948
673,-106.7838
674,-104.80373
675,-108.781235
676,-112.67959
677,-32.1523
678,-127.1864
679,-18.846817
680,-127.17562
681,-110.82559
682,-107.68954
683,-109.85131
684,-101.97487
685,-114.99289
686,-126.57711
687,-106.73724
688,-30.433714
689,-107.00801
690,-106.56696
691,-113.72092
692,-109.81452
693,-105.595665
694,-98.35716
695,-106.2511
696,-108.48918
697,-34.365253
698,-108.70371
699,-108.865135
700,-106.74269
701,-107.135544
702,-108.759735
703,-107.27596
704,-108.45312
705,-36.360397
706,-38.728645
707,-36.715603
708,-107.810974
709,-25.419218
710,-107.28067
711,-33.125587
712,-112.14389
713,-108.5966
714,-107.61427
715,-108.15618
716,-111.56283
717,-15.614454
718,-108.01459
719,-113.18333
720,-109.37659
721,-31.403591
722,-109.07429
723,-109.08905
724,-107.9384
725,-108.40318
726,-106.40135
727,-111.92669
728,-17.71286
729,-132.17975
730,-107.7828
731,-108.120155
732,-117.60129
733,-107.41874
734,-108.538765
735,-106.83211
736,-107.02432
737,-12.302532
738,-22.788202
739,-13.441109
740,-107.76031
741,-108.23931
742,-108.72142
743,-107.79058
744,-108.41704
745,-108.65862
746,-107.40332
747,-107.807274
748,-107.62971
749,-131.1751
750,-107.17459
751,-101.81996
752,-107.34052
753,-16.5662
754,-117.49004
755,-10.396638
756,-107.00105
757,-107.805725
758,-105.91063
759,-106.14383
760,-15.032024
761,-25.99637
762,-12.981035
763,-12.144515
764,-17.82694
765,-5.5989647
766,-6.232368
767,-107.0886
768,-105.45423
769,-12.115127
770,-108.14999
771,-107.38862
772,-105.36097
773,-106.88373
774,-105.55089
775,-105.411606
776,-96.966835
777,-3.2946975
778,-10.019474
779,-15.552028
780,-107.170135
781,-108.85135
782,-107.10826
783,-106.5228
784,-4.6164184
785,-105.58473
786,-107.628586
787,-108.27705
788,-97.16284
789,-106.97345
790,-108.308495
791,-107.218704
792,-98.55173
793,-103.595245
794,-105.6785
795,-98.5352
796,-93.1906
797,-94.28533
798,-17.029015
799,-14.02745
800,-115.68998
801,-118.459175
802,-113.33075
803,-134.35687
804,-22.501053
805,-142.26695
806,-100.3928
807,-12.875119
808,-0.12561099
809,-104.48065
810,-17.725483
811,-20.510609
812,-103.579926
813,-115.084595
814,-104.43255
815,-93.65926
816,-104.31909
817,-104.67569
818,-102.96241
819,-29.175116
820,-38.95322
821,-100.76712
822,-38.381756
823,-102.67431
824,-14.277958
825,-141.47403
826,-145.00421
827,-13.822264
828,-132.09366
829,-18.470976
830,-19.893177
831,-20.079496
832,-24.740446
833,-107.123055
834,-106.39542
835,-125.102005
836,-33.257915
837,-104.78337
838,-34.063473
839,-124.12081
840,-103.65464
841,-105.64983
842,-104.797104
843,-21.925852
844,-128.10925
845,-102.33252
846,-95.29342
847,-101.0343
848,-109.08407
849,-121.6763
850,-99.91769
851,-110.48364
852,-102.306046
853,-95.79698
854,-103.45083
855,-14.54024
856,-102.629585
857,-101.614716
858,-102.88599
859,-111.054886
860,-123.87484
861,-120.35275
862,-101.17027
863,-100.46595
864,-106.19652
865,-107.94054
866,-115.47187
867,-13.238121
868,-107.11722
869,-106.98147
870,-103.67546
871,-104.44202
872,-43.7745
873,-28.992662
874,-25.344862
875,-33.219906
876,-125.16607
877,-127.77446
878,-97.4198
879,-107.36824
880,-110.963455
881,-104.789566
882,-102.441864
883,-96.6626
884,-99.94961
885,-100.94811
886,-100.50183
887,-119.6374
888,-123.06318
889,-105.52177
890,-100.350105
891,-113.239265
892,-96.24373
893,-102.29835
894,-125.37331
895,-16.08131
896,-127.429756
897,-27.84849
898,-20.199125
899,-31.117826
900,-108.22982
901,-112.38135
902,-122.89717
903,-111.20212
904,-121.087036
905,-118.051056
906,-105.40834
907,-98.391914
908,-2.2353346
909,-27.592731
910,-105.5262
911,-96.43734
912,-104.952484
913,-117.665375
914,-107.523544
915,-108.30455
916,-112.03725
917,-104.41513
918,-28.760164
919,-104.74921
920,-110.5375
921,-110.62184
922,-119.15059
923,-39.320503
924,-117.89228
925,-37.09365
926,-28.60895
927,-40.843662
928,-40.765015
929,-117.45148
930,-118.91861
931,-119.28216
932,-124.753
933,-22.174534
934,9.117518
935,13.650701
936,5.859709
937,-7.3411937
938,-8.891795
939,-0.19459581
940,-100.5867
941,-18.579346
942,-16.193914
943,-17.331392
944,-116.52716
945,-9.713829
946,-13.768666
947,-22.335533
948,-23.388973
949,-27.166994
950,-18.440306
951,-8.152748
952,-2.0073373
953,-6.9231105
954,-7.2045736
955,-14.962382
956,-11.310694
957,6.1147447
958,-15.487389
959,-2.6354384
960,-23.727531
961,-18.741955
962,-115.06627
963,-22.773535
964,-9.287952
965,-128.33752
966,-3.7716978
967,10.911384
968,-17.723124
969,-114.75254
970,4.0493913
971,8.943155
972,3.5782132
973,6.9092555
974,18.165707
975,-77.201775
976,0.8266512
977,-10.983368
978,-30.659664
979,-30.430426
980,-32.227467
981,-24.526821
982,-26.230783
983,-18.969728
984,-12.407879
985,-2.2744002
986,5.625458
987,17.751343
988,15.398354
989,-100.58604
990,-14.3191185
991,-19.043467
992,-17.141487
993,-16.107477
994,-3.8262117
995,-0.4301542
996,4.859842
997,19.335775
998,-15.569869
999,0.110540785
1000,1.73758
1001,4.420619
1002,2.712119
1003,-31.589193
1004,-36.536343
1005,-38.551346
1006,-31.278866
1007,-25.490955
