,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9,It 10,It 11,It 12,It 13,It 14,It 15,It 16,It 17,It 18,It 19
0,26.96368563,24.20885425,283.4206803,114.2565559,98.73033967,297.999039,176.4441319,-27.56803114,306.5693388,284.8153892,-43.6405546,99.99553902,292.1858281,-108.231326,279.9657052,-50.11615787,312.1182404,-107.9614063,160.4744473,272.4847488
1,-25.60294812,-49.54187612,283.1150155,293.930605,269.4432449,299.5010117,172.3022648,35.78914944,306.6112222,289.6400333,-33.40819701,93.96136301,286.8778523,26.91756643,276.3261842,149.3992251,310.2907561,-113.236021,166.8561214,-78.62032293
2,-75.40007611,-50.50226832,283.3584777,20.34540606,272.5547847,298.1221829,-27.36239948,-29.62045983,307.4384239,292.0772859,-36.58908695,77.6043076,279.3616154,229.7936911,269.213033,59.00982254,309.9115721,-76.92612731,-8.860211514,101.1468793
3,-109.6562885,57.72371461,282.0950662,-78.17621778,-72.11482192,300.368531,191.6925464,-44.98903038,307.0782299,287.658737,-54.38784759,77.35520187,283.6263579,-107.9275495,282.238266,181.8620178,310.931401,-117.2679147,-121.5179133,274.7097022
4,-35.14834548,-73.93122649,283.4362878,-51.62794938,-80.44480721,299.5557852,170.8385982,102.3536925,306.2795084,289.0613506,-56.06424787,117.9119415,287.1421411,273.7587428,273.5860389,24.78762954,309.5481919,-47.32054384,-44.38789365,96.61820778
5,-78.77918521,49.74134328,-25.6028328,292.6335856,-66.63609329,300.8336821,-82.16825894,-47.65270423,307.8729861,292.2877094,-31.87196656,129.7044406,287.7116544,64.25077707,276.8782545,-33.37212416,310.6115367,-63.89546314,166.7868279,275.5195101
6,-33.11225118,65.00145767,281.0603593,-12.61461892,-58.70094632,298.447631,1.884668483,-8.451531434,307.7201064,286.6682611,-35.830445,108.0639704,287.6046923,106.7449827,277.2035141,-62.83053973,152.4202758,-61.84521477,29.22615246,272.4816317
7,-30.46303224,-35.52346756,-64.198921,293.2410209,19.12352103,299.9668726,191.1409436,-15.81851515,308.3892568,293.9011563,-57.14513931,-27.85006132,290.5531762,-108.2838728,274.2563508,18.92645682,307.4987744,-51.51277453,-83.67393321,280.1175047
8,-71.14714353,50.07113535,284.8891848,14.53634564,3.096539114,299.7762126,190.9389988,-85.14392224,308.5836129,286.037604,-32.35762473,131.4388245,283.1713047,249.6824658,277.4379407,-60.62913928,82.89696071,-99.39561486,182.6876515,266.7248445
9,-78.02479796,56.22412607,283.0306614,11.12111048,-68.34183863,297.8649302,47.23231394,18.80491527,305.9544531,289.4427599,-30.2077739,-91.8156279,294.8096012,253.6244818,274.0480336,-67.20273928,309.3624093,-113.4568682,-66.55235716,-94.35543457
10,-78.03375445,40.8098241,284.2573777,5.541636453,-41.4076017,299.4677582,-118.6556378,-79.11015919,307.1205067,292.1691125,-32.68338723,78.30534645,284.108829,-112.7729084,269.6299726,172.663698,311.7469394,-99.15645082,-128.0219575,284.7674249
11,-37.13419009,-87.31587831,283.7372541,294.0037438,32.01587435,299.3794488,202.2668393,-46.30070178,306.6782126,286.4937733,-33.0138742,44.21031374,287.5617566,263.6472197,280.4488503,-68.91654441,307.1593044,-81.6049234,150.2765979,283.9233425
12,-90.42107963,-81.46753575,284.6745892,11.9498136,113.4256034,300.2950555,182.54816,30.53833334,307.0037524,288.6682428,-53.80844761,21.65708592,279.2764541,-108.8806252,273.4785288,-43.84975489,310.3906695,-32.26873197,12.94753857,159.641141
13,-109.4653012,-87.79988823,280.28843,292.6844725,92.14781226,300.5023247,90.14940959,-75.64551915,308.012392,287.3074006,-38.28587395,57.99409308,291.9933885,253.9253215,280.5513035,-54.32409829,313.2249783,-118.8644978,-128.6982833,-80.92472116
14,-89.22935974,-55.76678422,281.0860117,56.5259401,221.9324681,299.2109163,-30.25394113,281.0815032,307.5119036,290.3123505,-32.09758304,50.3814808,275.9430039,-109.5433755,271.8713596,-38.29078769,16.57252366,-49.00952146,-120.7307643,278.4828648
15,-44.74098974,90.80658124,284.1453226,-25.1014179,117.1119085,299.7079233,186.7965731,276.936172,306.5493096,290.6589168,-27.14205735,61.9202855,290.6771243,-101.5698914,276.0795997,-53.7827446,308.9070041,-122.392676,2.970972551,96.47801693
16,-26.80147125,78.89837095,283.0052147,-19.08109146,240.8195148,300.8044716,-8.243352904,30.86480117,308.2148392,284.241165,-33.8064511,59.78878345,284.6842217,-108.8012169,274.3281931,-42.35051049,308.624834,-66.37220035,-48.66923333,280.6213453
17,-104.1690933,3.809130133,283.9587473,-40.45199229,-39.4605787,299.3855309,175.2756134,154.1560254,307.6723754,290.7212098,-28.92410405,62.43071119,283.8247569,-110.0819742,270.0862843,85.3162996,310.4281373,-100.5973266,-37.90332373,-91.91180964
18,-70.3763427,-24.04956921,280.2194424,-14.68273756,99.77586346,300.1580068,199.8421984,-49.76867839,307.0226027,289.5844739,-36.84341257,-12.9496272,290.5819225,-96.74486908,-0.197385568,-38.03057143,308.9561539,-98.0220479,-132.1070613,-54.30619889
19,-17.1882886,92.40441488,93.23029102,62.4437632,247.5055486,299.82977,-57.70620904,-52.00391311,306.8275939,287.7255344,-30.66126723,89.25350197,284.3804086,-106.0731493,-106.0794887,-7.680925998,312.8092999,-127.2618961,-86.23750803,-76.2396057
20,-111.1429106,38.46420923,28.99041515,289.6190249,-58.6779103,299.5899332,116.200634,-8.748930387,306.9136279,290.1898623,-50.51164941,51.24885076,282.5283313,49.25243514,280.251926,64.72962982,310.4565186,-60.48835428,-10.98099075,257.3125775
21,-7.080563506,-83.29597303,285.3959286,49.5929552,64.43462016,298.5597547,-112.007796,175.6313795,307.6770872,290.3290198,-30.73902463,-15.64485419,290.0941384,-112.6680068,281.9246756,7.087195648,308.555884,-66.77868438,47.09636682,280.3496618
22,-30.12192624,-59.44562948,284.6827397,-22.78222759,72.98526679,299.7810776,-79.21387977,53.54960795,306.8161414,292.0532484,-39.08331859,54.3757701,294.2150372,266.9261301,278.1842898,41.0440759,311.3131779,-73.02289638,1.62029619,267.2754171
