,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9
50,-98.378586,-96.61175,-11.750966,-105.07676,-96.95404,-97.639366,-12.088289,-119.20543,-100.55982,-104.77735
51,-120.06151,-97.761284,-99.48743,-12.754012,-100.015205,-16.092787,-101.931305,-126.547386,-126.89606,-110.031906
52,-14.99403,-19.132174,-16.037645,-114.13793,-99.65222,-18.891247,-102.48171,-112.93581,-97.98853,-103.00048
53,-97.91136,-111.82873,-14.324158,-13.588588,-104.94135,-11.740257,-104.09734,-103.158485,-23.294859,-111.97776
54,-100.42317,-9.381604,-102.22415,-17.422388,-23.56264,-99.73359,-12.459221,-116.64003,-9.857412,-19.295515
55,-12.942596,-98.293625,-109.18736,-13.566442,-17.777628,-13.15657,-24.23803,-114.18878,-103.57496,-19.088598
56,-11.438057,-98.095406,-100.88093,-107.09542,-110.78778,-99.87762,-17.409695,-14.193909,-99.2493,-99.316475
57,-97.241005,-12.52683,-99.54372,-98.50402,-14.760935,-106.91025,-98.63867,-98.86452,-100.60566,-10.910543
58,-98.608795,-17.348488,-98.48664,-19.673283,-109.71412,-101.20244,-14.927532,-8.11942,-98.92328,-128.14352
59,-99.973915,-99.30958,-101.37055,-14.525453,-100.48911,-99.29668,-21.7403,-11.534542,-97.50798,-102.09827
60,-110.71233,-100.57695,-106.99647,-120.41786,-101.01178,-15.178338,-108.5075,-113.667725,-97.90764,-22.76017
61,-24.466204,-12.925116,-98.0793,-22.810486,-18.33927,-10.258549,-116.259674,-19.014338,-17.870445,-13.068272
62,-108.82706,-95.08523,-99.09348,-101.3025,-107.46759,-9.456764,-21.741829,-106.42647,-96.963135,-26.564629
63,-99.42221,-120.16363,-19.400043,-98.25371,-16.535187,-18.395403,-15.528548,-14.959551,-20.785145,-18.6473
64,-20.995214,-97.42001,-100.30074,-99.50596,-97.46256,-99.33914,-17.698381,-100.56757,-97.66398,-14.468361
65,-12.967279,-97.459076,-100.33169,-113.86337,-26.61094,-102.60744,-103.67997,-102.97511,-102.12737,-14.532452
66,-14.889717,-14.021355,-12.021203,-15.928977,-123.2463,-11.203626,-98.22913,-101.20405,-103.84341,-101.92073
67,-98.7965,-19.543398,-107.11814,-101.27372,-23.697853,-15.494888,-17.611607,-119.106,-110.744064,-18.294373
68,-98.06135,-104.3662,-101.257675,-100.39071,-124.32943,-11.218789,-18.92577,-97.4592,-19.59738,-13.211278
69,-110.57606,-16.950039,-96.54495,-23.166504,-21.10796,-106.73138,-23.113111,-11.2050905,-125.902985,-114.07303
70,-13.564066,-12.054114,-98.52204,-97.43256,-107.760345,-95.09297,-20.68288,-100.39723,-118.15517,-22.319874
71,-13.907319,-97.48089,-10.507781,-97.8783,-99.35114,-109.8684,-103.99422,-97.08547,-17.466034,-98.71955
72,-98.497444,-114.891464,-101.44503,-111.68029,-100.94424,-13.840729,-114.465546,-97.51435,-16.559275,-97.2562
